#,建築物名稱,建築物概要,認可版本,認可等級,rank,有效期間,valid,認可類別,設計人,行政區,ditrict,地號,建築物使用類別,longtitude,latitude
608,君泰建設新莊區丹鳳段南基地住宅大樓新建工程,地下4層，地上21層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2021年12月28日,0,標示,三門聯合建築師事務所,新北市,新莊區,新北市新莊區丹鳳段514地號等1筆,住宿類建築,121.414238,25.026921
610,合眾建經汐止北山段店鋪及集合住宅拾五層新建工程,地下5層，地上15層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2021年12月12日,0,標示,秦境建築師事務所,新北市,汐止區,新北市汐止區北山段443地號等1筆,住宿類建築,121.630526,25.066326
611,新北市板橋區四維公園附建地下停車場新建統包工程,地下3層，地上1層鋼筋混凝土構造其他類建築,2012年版EEWH-BC,銅級,2,2021年12月6日,0,標示,馮則維建築師事務所,新北市,板橋區,新北市板橋區幸福段1436地號等26筆,其他類建築,121.463115,25.025885
612,墩璞建設板橋光華段高層集合住宅新建工程,地下4層，地上21層鋼筋混凝土構造住宿類建築,2009年版,黃金級,4,2021年12月1日,0,標示,顏明南建築師事務所,新北市,板橋區,新北市板橋區光華段279地號等1筆,住宿類建築,121.456987,25.015573
613,中華電信板橋資料中心新建工程,地下3層，地上11層鋼筋混凝土構造辦公廳、大型空間及其他類建築,2009年版,鑽石級,5,2021年12月1日,0,標示,李祖原聯合建築師事務所,新北市,板橋區,新北市板橋區信義段329地號等1筆,其他類建築,121.458116,24.994779
614,蘆洲區公公園多目標闢建工程,地下2層，地上3層鋼筋混凝土及鋼構造大型空間類建築,2012年版EEWH-BC,合格級,1,2021年11月24日,0,標示,蕭力仁建築師事務所,新北市,蘆洲區,新北市蘆洲區民義段269地號等8筆,大型空間類建築,121.475967,25.079667
615,富信大飯店2館,地下2層，地上12層鋼筋混凝土構造旅館餐飲類建築,2012年版EEWH-BC,銀級,3,2021年11月15日,0,標示,照華建築師事務所、黃俊吉建築師事務所,新北市,汐止區,新北市汐止區工建段750地號等3筆,旅館餐飲類建築,121.632292,25.055024
618,新北市立江翠國民中學興建室內溫水游泳池共構地下停車場工程,地下4層，地上2層鋼筋混凝土及鋼骨構造大型空間類建築,2009年版,合格級,1,2021年9月28日,0,標示,蕭力仁建築師事務所,新北市,板橋區,新北市板橋區江子翠段第二崁小段237-2地號等38筆,大型空間類建築,121.46839,25.028013
619,新北市林口特定區機1-1行政園區新建工程,地下1層，地上6層鋼筋混凝土構造辦公廳類、住宿類、學校類及大型空間類建築,2012年版EEWH-BC,銅級,2,2021年9月8日,0,標示,陳信樟建築師事務所,新北市,林口區,新北市林口區建林段385-1地號等1筆,辦公廳類建築,121.363495,25.069739
620,新北市立文山國民中學第二期校舍工程,地下1層，地上7層鋼筋混凝土構造學校類建築,2009年版,合格級,1,2021年9月6日,0,標示,林芳立建築師事務所,新北市,新店區,新北市新店區文山段644地號等22筆,學校類建築,121.539623,24.956524
621,新北市三重區興德段852地號大樓新建工程,地下3層，地上14層鋼骨構造大型空間類建築,2012年版EEWH-GF,黃金級,4,2021年8月17日,0,標示,潘冀聯合建築師事務所,新北市,三重區,新北市三重區興德段852地號等1筆(部份使用),大型空間類建築,121.468285,25.050226
622,新北市林口中商36三井暢貨園區新建工程,地下1層，地上5層鋼筋混凝土及鋼骨構造百貨商場、旅館餐飲、大型空間及其他類建築,2012年版EEWH-BC,銀級,3,2021年8月9日,0,標示,大矩聯合建築師事務所,新北市,林口區,新北市林口區建林段381地號等4筆,百貨商場類建築,121.366216,25.0712
623,淡水水仙段204地號集合住宅新建工程,地下2層，地上7層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2021年7月28日,0,標示,周劍平建築師事務所,新北市,淡水區,新北市淡水區水仙段204地號等1筆,住宿類建築,121.461802,25.151918
625,遠雄建設左岸紫金園社區案新建工程,地下1層，地上23層鋼筋混凝土構造住宿類建築,2009年版,銅級,2,2021年7月13日,0,標示,李祖原聯合建築師事務所,新北市,中和區,新北市中和區華中段60地號等1筆,住宿類建築,121.485716,25.012348
626,遠雄新宿住辦大樓,地下4層，地上27層鋼筋混凝土構造辦公廳及住宿類建築,2009年版,銀級,3,2021年7月11日,0,標示,李祖原聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段281-2地號等1筆,住宿類建築,121.448473,25.059682
627,永聯瑞芳工商綜合區B6區物流倉儲廠房新建工程,地上4層鋼筋混凝土構造、鋼骨構造大型空間類建築,2012年版EEWH-BC,銀級,3,2021年6月29日,0,標示,張哲夫建築師事務所,新北市,瑞芳區,新北市瑞芳區四腳亭段楓子瀨小段0144-0027地號等1筆,大型空間類建築,121.773732,25.097534
628,中和南工段182地號等1筆土地集合住宅新建工程,地下4層，地上26層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2021年6月23日,0,標示,葉育廷建築師事務所,新北市,中和區,新北市中和區南工段182地號等1筆,住宿類建築,121.508116,25.002691
629,新店高中運動場附建地下停車場新建工程,地下2層，地上1層鋼筋混凝土構造大型空間類建築,2012年版EEWH-BC,銀級,3,2021年6月22日,0,標示,蕭力仁建築師事務所,新北市,新店區,新北市新店區福園段585地號等10筆,大型空間類建築,121.534146,24.97427
630,汐止加油站新建工程,地上2層鋼筋混凝土構造其他類建築,2015年版EEWH-BC,合格級,1,2021年6月6日,0,標示,鄞埼錩建築師事務所,新北市,汐止區,新北市汐止區大同段464-1地號等6筆,其他類建築,121.639827,25.060174
632,新北市中和區興南國民小學老舊校舍整建工程,地下1層，地上5層鋼筋混凝土構造學校類建築,2012年版EEWH-BC,合格級,1,2021年6月1日,0,標示,蔡忠孝建築師事務所,新北市,中和區,新北市中和區正南段187地號等9筆,學校類建築,121.509777,24.987217
633,台北縣淡水地區污水下水道系統委外建設營運計畫,地上3層鋼筋混凝土構造辦公廳類建築,2005年更新版,銀級,3,2021年5月26日,0,標示,黃孟偉建築師事務所,新北市,淡水區,新北市淡水區淡海段253地號等1筆,辦公廳類建築,121.41847,25.194448
634,新北市立聯合醫院三重院區急重症大樓新建工程,地下3層，地上10層鋼筋混凝土構造醫院類建築,2012年版EEWH-BC,銅級,2,2021年5月18日,0,標示,境向聯合建築師事務所,新北市,三重區,新北市三重區過田段202-00地號等26筆,醫院類建築,121.490963,25.060599
636,新北市立圖書館新建工程,地下3層，地上10層鋼筋混凝土構造大型空間類建築,2009年版,鑽石級,5,2021年4月27日,0,標示,楊瑞禎聯合建築師事務所,新北市,板橋區,新北市板橋區亞東段0975地號等4筆,大型空間類建築,121.455399,25.001618
637,淡水區新興段134地號等3筆集合住宅新建工程,地下3層，地上15層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2021年4月21日,0,標示,李兆嘉建築師事務所,新北市,淡水區,新北市淡水區新興段134地號等3筆,住宿類建築,121.438218,25.183844
638,新店區安和段303地號旅館新建工程,地下2層，地上7層鋼筋混凝土構造旅館餐飲類建築,2009年版,銀級,3,2021年4月14日,0,標示,李承洋建築師事務所,新北市,新店區,新北市新店區安和段303-0地號等1筆,旅館餐飲類建築,121.515341,24.974833
639,臺灣證券交易所資訊中心,地下3層，地上7層鋼筋混凝土構造辦公廳及大型空間類建築,2009年版,銀級,3,2021年4月6日,0,標示,賴朝俊建築師事務所,新北市,板橋區,新北市板橋區信義段330地號等1筆,辦公廳類建築,121.459301,24.995007
640,審計部審計人員訓練大樓新建工程,地下2層，地上9層鋼筋混凝土構造辦公廳類建築,2009年版,銅級,2,2021年3月30日,0,標示,廖晏瑋建築師事務所,新北市,中和區,新北市中和區華新段642地號等5筆,辦公廳類建築,121.509274,24.981536
641,合鼎建設淡水區水仙段集合住宅新建工程,地下3層，地上28層鋼骨構造住宿及大型空間類建築,2012年版EEWH-RS,銀級,3,2021年3月22日,0,標示,原大聯合建築師事務所,新北市,淡水區,新北市淡水區水仙段762地號等1筆,住宿類建築,121.460305,25.14513
642,新北市立北大高級中學校舍新建工程,地下1層，地上5層鋼筋混凝土構造學校類建築,2009年版,合格級,1,2021年3月17日,0,標示,台北國際聯合建築師事務所,新北市,三峽區,新北市三峽區大學段一小段0003-0000地號等1筆(部份使用),學校類建築,121.375686,24.948403
643,永聯瑞芳工商綜合區B5區物流倉儲廠房新建工程,地上4層鋼筋混凝土構造，鋼骨構造大型空間類建築,2015年版EEWH-BC,銀級,3,2021年3月8日,0,標示,張哲夫建築師事務所,新北市,瑞芳區,新北市瑞芳區四腳亭段楓子瀨小段126地號等1筆,大型空間類建築,121.773582,25.099006
644,遠雄 U TOWN,地下7層，地上37層鋼骨構造辦公廳類、百貨商場類、旅館餐飲類及大型空間類建築,2009年版,銅級,2,2021年3月8日,0,標示,沈國皓建築師事務所,新北市,汐止區,新北市汐止區昊天段872地號等2筆,辦公廳類建築,121.648812,25.062148
645,翔譽建設三重區成功段集合住宅新建工程,地下5層，地上24層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2021年2月23日,0,標示,陳廷杰建築師事務所,新北市,三重區,新北市三重區成功段1237地號等3筆,住宿類建築,121.487695,25.0512
646,遠雄建設錦繡園住宅大樓新建工程,地下2層，地上14層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2021年2月21日,0,標示,李祖原聯合建築師事務所,新北市,中和區,新北市中和區華中段0048地號等1筆,住宿類建築,121.486789,25.011154
647,新北市淡水區綜合行政大樓新建工程,地下3層，地上10層鋼骨鋼筋混凝土構造辦公廳類建築,2009年版,合格級,1,2021年2月16日,0,標示,郭自強建築師事務所,新北市,淡水區,新北市淡水區公司田段0087地號等1筆,辦公廳類建築,121.443725,25.187063
648,臺北港東1之1多功能多用途倉庫興建工程,地上2層鋼構造大型空間類建築,2012年版EEWH-BC,合格級,1,2021年1月28日,0,標示,薛晉屏建築師事務所,新北市,八里區,新北市八里區小八里坌段中小段291地號等1筆(部分使用),大型空間類建築,121.398867,25.159677
649,永聯瑞芳工商綜合區B3區物流倉儲廠房新建工程,地上4層鋼筋混凝土構造，鋼骨構造大型空間類建築,2012年版EEWH-BC,銀級,3,2021年1月26日,0,標示,張哲夫建築師事務所,新北市,瑞芳區,新北市瑞芳區四腳亭段楓子瀨小段125地號等3筆,大型空間類建築,121.773538,25.101701
650,蘆洲區民族段352等2筆地號集合住宅案,地下2層，地上9層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2021年1月25日,0,標示,蔡智勸建築師事務所,新北市,蘆洲區,新北市蘆洲區民族段352地號等2筆,住宿類建築,121.476752,25.090166
651,新北市新五泰國民運動中心興建統包工程,地下2層，地上5層鋼骨構造大型空間類建築,2012年版EEWH-BC,鑽石級,5,2021年1月21日,0,標示,萬邦建築師事務所,新北市,泰山區,新北市泰山區同興段101地號等1筆,大型空間類建築,121.434668,25.055682
652,德林建設新北市汐止區智興段集合住宅新建工程,地下3層，地上10層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2021年1月5日,0,標示,黃翔龍建築師事務所,新北市,汐止區,新北市汐止區智興段1398地號等1筆,住宿類建築,121.652774,25.062383
653,泰山一次配電變電所新建工程,地下1層，地上4層鋼筋混凝土構造其他類建築,2003年更新版,免評估,0,2020年12月29日,0,標示,黃裕欽建築師事務所,新北市,泰山區,新北市泰山區泰山段一小段452地號等1筆(部份使用),其他類建築,121.43368,25.063801
654,新北市三峽區三峽國民小學「老舊校舍第二期整建工程」,地下2層，地上4層鋼筋混凝土構造學校類建築,2009年版,合格級,1,2020年12月23日,0,標示,陳志庸建築師事務所,新北市,三峽區,新北市三峽區文化段654地號等11筆,學校類建築,121.368618,24.935304
655,永聯瑞芳工商綜合區B9區物流倉儲廠房新建工程,地上3層鋼筋混凝土構造大型空間類建築,2012年版EEWH-BC,銀級,3,2020年12月21日,0,標示,張哲夫建築師事務所,新北市,瑞芳區,新北市瑞芳區四腳亭段楓子瀨小段0144-0028地號等4筆,大型空間類建築,121.771586,25.10034
656,新北市新莊區新莊國民小學老舊校舍(中、西棟教室)整建工程,地下1層，地上5層鋼筋混凝土構造學校類建築,2009年版,合格級,1,2020年12月8日,0,標示,林芳立建築師事務所,新北市,新莊區,新北市新莊區恒安段610地號等8筆,學校類建築,121.45604,25.037273
657,新北市板橋區港子嘴段二十一層集合住宅新建工程,地下4層，地上21層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2020年11月17日,0,標示,游素秋建築師事務所,新北市,板橋區,新北市板橋區港子嘴段246地號等1筆,住宿類建築,121.484356,25.019922
658,遠雄國都住商大樓,地下4層，地上28層鋼筋混凝土構造住宿類建築,2009年版,黃金級,4,2020年11月12日,0,標示,李祖原聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段407-1地號等1筆,住宿類建築,121.444134,25.05725
660,新民電力用戶服務及巡修中心暨附設地下配電變電設施聯合辦公大樓新建工程,地下4層，地上17層鋼骨鋼筋混凝土構造其他類建築,2007年更新版,銅級,2,2020年10月21日,0,標示,羅興華建築師事務所,新北市,板橋區,新北市板橋區新板段一小段29地號等2筆,其他類建築,121.461714,25.012005
661,新北市板橋國民運動中心興建統包工程,地下3層，地上5層鋼骨鋼筋混凝土構造大型空間類建築,2009年版,鑽石級,5,2020年9月20日,0,標示,萬邦建築師事務所,新北市,板橋區,新北市板橋區幸福段903-1地號等41筆,大型空間類建築,121.455303,25.025976
662,順誠建設淡水海鷗段214地號等1筆(山水悅),地下3層，地上9層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2020年8月27日,0,標示,呂建勳建築師事務所,新北市,淡水區,新北市淡水區海鷗段214地號等1筆,住宿類建築,121.448178,25.167141
663,遠雄建設新北市中和區華中段6地號住宅大樓新建工程,地下1層，地上26層鋼骨鋼筋混凝土構造住宿類建築,2009年版,黃金級,4,2020年8月20日,0,標示,李祖原聯合建築師事務所,新北市,中和區,新北市中和區華中段6地號等1筆,住宿類建築,121.491222,25.008219
664,新北市板橋區海山國民小學老舊校舍整建第二期工程,地下1層，地上5層鋼筋混凝土構造學校類建築,2009年版,合格級,1,2020年8月17日,0,標示,陳志庸建築師事務所,新北市,板橋區,新北市板橋區中山段577地號等7筆,學校類建築,121.470711,25.009962
665,新北市新莊區思賢國民小學老舊校舍整建工程,地下1層，地上5層鋼筋混凝土及鋼骨構造學校類建築,2009年版,合格級,1,2020年8月16日,0,標示,林芳立建築師事務所,新北市,新莊區,新北市新莊區思賢段1002地號等3筆,學校類建築,121.456832,25.046401
666,信住建設蘆洲區民權段904地號住宅大樓新建工程,地下3層，地上25層鋼骨鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2020年8月16日,0,標示,三門聯合建築師事務所,新北市,蘆洲區,新北市蘆洲區民權段904地號等1筆,住宿類建築,121.469704,25.094309
667,新北市土城國民運動中心新建工程,地下1層，地上4層鋼筋混凝土及鋼構造大型空間類建築,2012年版EEWH-BC,黃金級,4,2020年7月12日,0,標示,曾永信建築師事務所,新北市,土城區,新北市土城區板院段363地號等8筆,大型空間類建築,121.457909,24.98559
668,深坑區兒童遊戲場、幼兒園暨地下停車場工程,地下2層，地上1層鋼筋混凝土構造學校類建築,2012年版EEWH-BC,銅級,2,2020年7月6日,0,標示,蕭力仁建築師事務所,新北市,深坑區,新北市深坑區埔新段863-0000地號等12筆,學校類建築,121.616057,25.001765
669,新北市中和國民運動中心新建工程,地下2層，地上4層鋼筋混凝土及鋼構造大型空間類建築,2012年版EEWH-BC,黃金級,4,2018年6月24日,0,標示,曾永信建築師事務所,新北市,中和區,新北市中和區錦和段0586-0000地號等3筆,大型空間類建築,121.486667,24.992713
670,淡水新市路郵局新建工程,地下2層，地上5層鋼筋混凝土構造辦公廳類建築,2009年版,銅級,2,2018年6月17日,0,標示,喻台生建築師事務所,新北市,淡水區,新北市淡水區新市段0143-0000地號等1筆,辦公廳類建築,121.436336,25.197045
671,新北市林口區麗林段集合住宅新建工程,地下4層，地上29層鋼筋混凝土及鋼骨鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2018年6月10日,0,標示,蕭家福聯合建築師事務所,新北市,林口區,新北市林口區麗林段407地號等1筆,住宿類建築,121.37891,25.085167
672,西濱一次配電變電所新建工程,地下1層，地上4層鋼筋混凝土構造其他類建築,2009年版,合格級,1,2018年6月1日,0,標示,陳明宏建築師事務所,新北市,八里區,新北市八里區小八里坌段中小段294-3地號等2筆,其他類建築,121.393364,25.15167
673,新北市三重區國民運動中心新建工程,地下2層，地上7層鋼筋混凝土及鋼骨構造大型空間類建築,2009年版,黃金級,4,2018年4月30日,0,標示,陳章安建築師事務所,新北市,三重區,新北市三重區重新段壹小段61地號等1筆,大型空間類建築,121.487939,25.054605
674,瑞亭分隊新建工程,地上4層鋼筋混凝土構造辦公廳類建築,2012年版EEWH-BC,合格級,1,2018年4月16日,0,標示,楊志宏建築師事務所,新北市,瑞芳區,新北市瑞芳區吉安段1419-01地號等1筆,辦公廳類建築,121.762101,25.102327
675,淡水海天段集合住宅新建工程,地下2層，地上10層鋼筋混凝土構造住宿類建築,2009年版,黃金級,4,2018年4月15日,0,標示,長弘建築師事務所,新北市,淡水區,新北市淡水區海天段567地號等2筆,住宿類建築,121.462021,25.155165
676,陸江聚,地下2層，地上11層鋼筋混凝土構造住宿類建築,2009年版,黃金級,4,2018年4月12日,0,標示,金以容建築師事務所,新北市,蘆洲區,新北市蘆洲區正義段709地號等4筆,住宿類建築,121.464236,25.084831
677,衛生福利部雙和醫院(委託臺北醫學大學興建經營)第二醫療大樓新建工程,地下5層，地上17層鋼筋混凝土構造醫院類建築,2009年版,黃金級,4,2018年3月29日,0,標示,宗邁建築師事務所,新北市,中和區,新北市中和區錦和段38地號等45筆,醫院類建築,121.493594,24.992744
678,新北市林口區麗林段407-3地號等一筆商業及住宅新建工程,地下4層，地上29層鋼骨鋼筋混凝土構造，鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2018年3月29日,0,標示,朱騰惠建築師事務所,新北市,林口區,新北市林口區麗林段407-3地號等1筆,住宿類建築,121.379808,25.084647
679,新板特區曼哈頓金融大廈新建工程,地下6層，地上22層鋼骨構造辦公廳類建築,2009年版,合格級,1,2018年3月17日,0,標示,曹書生建築師事務所,新北市,板橋區,新北市板橋區新板段三小段24地號等1筆,辦公廳類建築,121.465257,25.011377
680,詠譽建設新莊區忠孝段集合住宅新建工程,地下4層，地上18層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2018年2月12日,0,標示,呂建勳建築師事務所,新北市,新莊區,新北市新莊區忠孝段452地號等1筆(部份使用),住宿類建築,121.44334,25.034463
681,新北市淡水區國民運動中心新建工程,地下2層，地上5層鋼骨構造大型空間類建築,2009年版,黃金級,4,2018年1月19日,0,標示,陳章安建築師事務所,新北市,淡水區,新北市淡水區公司田段79地號等1筆,大型空間類建築,121.441797,25.186735
682,蘆洲國民運動中心新建工程,地下1層，地上5層鋼骨鋼筋混凝土構造大型空間類建築,2009年版,黃金級,4,2018年1月13日,0,標示,戴嘉惠建築師事務所,新北市,蘆洲區,新北市蘆洲區正義段187地號等1筆(部分使用),大型空間類建築,121.461538,25.09097
685,三圓建設新店行政段集合住宅新建工程-二期,地下6層，地上21層鋼骨鋼筋混凝土構造住宿類建築,2009年版,合格級,1,2017年12月11日,0,標示,鄧培華建築師事務所,新北市,新店區,新北市新店區行政段0857地號等1筆,住宿類建築,121.543129,24.969719
686,新北市汐止區保長國民小學勤學樓、勵志樓重建工程,地下1層，地上4層鋼筋混凝土構造，鋼骨構造學校類建築,2009年版,銅級,2,2017年12月2日,0,標示,蔡忠孝建築師事務所,新北市,汐止區,新北市汐止區長安段1210地號等4筆,學校類建築,121.680324,25.071801
687,國立臺北大學圖資大樓新建工程,地下1層，地上7層鋼筋混凝土構造大型空間類建築,2007年更新版,銅級,2,2017年11月9日,0,標示,廖國誠建築師事務所,新北市,三峽區,新北市三峽區大學段一小段191地號等87筆,大型空間類建築,121.37099,24.94718
688,遠雄建設新莊副都心段一小段27地號住商大樓新建工程,地下4層，地上24層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2017年10月20日,0,標示,李祖原聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段27地號等1筆,住宿類建築,121.454907,25.059295
689,新北市新莊區副都心段一小段10地號住商大樓新建工程,地下5層，地上25層鋼筋混凝土構造住宿類建築,2009年版,黃金級,4,2017年10月20日,0,標示,李祖原聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段0010地號等1筆,住宿類建築,121.455859,25.059965
690,新北市淡水區新市國民小學校舍新建建築工程,地下1層、地上4層鋼筋混凝土構造學校類建築,2009年版,鑽石級,5,2017年10月16日,0,標示,石昭永建築師事務所,新北市,淡水區,新北市淡水區公司田段62地號等1筆,學校類建築,121.444866,25.186314
691,益騏林口麗林段店舖、集合住宅新建工程,地下3層，地上19層鋼筋混凝土構造住宿類建築,2009年版,合格級,1,2017年10月8日,0,標示,閤康聯合建築師事務所,新北市,林口區,新北市林口區麗林段407-4地號等2筆,住宿類建築,121.37962,25.083469
692,遠雄建設左岸彩虹園社區案新建工程,地下1層，地上26層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2017年9月25日,0,標示,李祖原聯合建築師事務所,新北市,中和區,新北市中和區華中段64地號等1筆,住宿類建築,121.484703,25.012687
693,遠雄建設左岸玫瑰園社區案新建工程,地下1層，地上24層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2017年7月27日,0,標示,李祖原聯合建築師事務所,新北市,中和區,新北市中和區華中段0019-0000地號等1筆,住宿類建築,121.488502,25.009434
694,中國建築經理股份有限公司淡水區海鷗段1021地號1筆土地新建工程,地下6層，地上41層鋼骨構造住宿類建築,2012年版EEWH-RS,合格級,1,2017年6月26日,0,標示,李祖原聯合建築師事務所 郭秋利建築師事務所,新北市,淡水區,新北市淡水區海鷗段1021地號等1筆,住宿類建築,121.456179,25.160469
695,遠東百貨板橋購物中心第二期辦公大樓,地下4層，地上50層鋼骨構造百貨商場類建築,2007年更新版,銀級,3,2017年6月26日,0,標示,大元聯合建築師事務所,新北市,板橋區,新北市板橋區新板段二小段8地號等1筆,百貨商場類建築,121.467,25.013452
696,新北市政府稅捐稽徵處三鶯分處辦公廳舍新建工程,地下1層，地上4層鋼筋混凝土構造辦公廳類建築,2009年版,合格級,1,2017年6月26日,0,標示,蕭力仁建築師事務所,新北市,三峽區,新北市三峽區仁愛段360-1地號等3筆,辦公廳類建築,121.363708,24.936721
697,冠德鼎峰大樓新建工程,地下4層，地上25層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2017年6月9日,0,標示,簡志聰建築師事務所 周夢龍建築師事務所,新北市,新莊區,新北市新莊區中原段175地號等1筆,住宿類建築,121.460409,25.054659
699,台灣桃園國際機場聯外捷運系統建設計畫A3(新北產業園區)車站,地上3層鋼筋混凝土及鋼骨構造大型空間類建築,2007年更新版,銅級,2,2017年6月3日,0,標示,林信忠建築師事務所,新北市,新莊區,新莊區興化段731等地號,大型空間類建築,121.458908,25.061803
700,台灣桃園國際機場聯外捷運系統建設計畫A4(新莊副都心站)車站,地上5層鋼筋混凝土構造及鋼骨構造大型空間類建築,2007年更新版,銅級,2,2017年6月3日,0,標示,林信忠建築師事務所,新北市,新莊區,新莊區興化段903及泰山區泰山段155等地號共30筆,大型空間類建築,121.446086,25.059333
701,福營第二分隊暨裕民行政大樓廳舍新建工程,地下1層，地上7層鋼筋混凝土構造辦公廳類建築,2007年更新版,合格級,1,2017年6月2日,0,標示,吳旗清建築師事務所,新北市,新莊區,新北市新莊區龍鳳段522-3地號等11筆,辦公廳類建築,121.417559,25.021992
702,新北市立三重高級商工職業學校模具實習工廠整建工程,地上4層鋼筋混凝土構造學校類建築,2009年版,合格級,1,2017年6月2日,0,標示,黃振東建築師事務所,新北市,三重區,新北市三重區永德段1011地號等1筆,學校類建築,121.481211,25.069567
703,合寶開發新店寶強路溫泉案,地下4層，地上29層鋼骨鋼筋混凝土構造住宿類建築,2007年更新版,銀級,3,2017年5月22日,0,標示,張維哲建築師事務所,新北市,新店區,新北市新店區寶強段589地號等1筆,住宿類建築,121.544167,24.978589
704,蘆洲民權段拾貳層集合住宅新建工程,地下2層，地上12層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2017年5月15日,0,標示,張從仁建築師事務所,新北市,蘆洲區,新北市蘆洲區民權段695地號等2筆,住宿類建築,121.471281,25.093418
705,遠雄人壽左岸采梅園社區案新建工程,地下1層，地上23層鋼筋混凝土構造住宿類建築,2009年版,黃金級,4,2017年5月8日,0,標示,李祖原聯合建築師事務所,新北市,中和區,新北市中和區華中段61-00地號等1筆,住宿類建築,121.48519,25.012901
706,山圓建設板橋市文化路集合住宅新建工程,地下7層，地上46層鋼骨構造住宿類建築,2005年更新版,合格級,1,2017年5月6日,0,標示,鄧培華建築師事務所,新北市,板橋區,新北市板橋區文化段1198地號等1筆,住宿類建築,121.469404,25.023419
711,新北市立桃子腳國民中小學第二期校舍新建工程案,地下1層，地上3層鋼筋混凝土構造學校類建築,2009年版,合格級,1,2017年4月13日,0,標示,景象建築師事務所,新北市,樹林區,新北市樹林區大學段二小段16地號等2筆,學校類建築,121.382421,24.95046
712,新北市政府警察局瑞芳分局、民政局瑞芳戶政事務所暨消防局瑞芳分隊廳舍共構改建工程,地下1層，地上7層鋼筋混凝土構造辦公廳類建築,2007年更新版,銅級,2,2017年3月16日,0,標示,吳旗清建築師事務所,新北市,瑞芳區,新北市瑞芳區明燈段466地號等4筆,辦公廳類建築,121.807487,25.107666
715,昇陽建設中和民富段集合住宅新建工程,地下4層，地上23層鋼筋混凝土構造住宿類建築,2009年版,銅級,2,2016年11月21日,0,標示,陳聰亨建築師事務所,新北市,中和區,新北市中和區民富段693地號等2筆,住宿類建築,121.476112,25.007467
716,新莊副都心中央合署辦公大樓新建工程,地下4層，地上18層鋼骨鋼筋混凝土構造辦公廳類建築,2007年更新版,鑽石級,5,2016年11月12日,0,標示,吳明修建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段410地號等7筆,辦公廳類建築,121.444196,25.055866
718,遠雄人壽海德公園社區案新建工程,地下4層，地上25層鋼骨鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2016年11月6日,0,標示,李祖原聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段9地號等1筆,住宿類建築,121.456537,25.059958
719,遠雄建設中央公園社區案新建工程,地下4層，地上26層鋼骨鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2016年11月5日,0,標示,李祖原聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段32地號等1筆,住宿類建築,121.456984,25.059267
721,華固新店華城禾豐住宅新建工程(D區),地下1層，地上4層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2016年10月27日,0,標示,元宏聯合建築師事務所,新北市,新店區,新北市新店區禾豐二段162-1、163-3、163-4、163-5地號等4筆,住宿類建築,121.514417,24.93326
722,華固新店華城禾豐住宅新建工程(E區),地下1層，地上3層鋼筋混凝土構造辦公廳類建築,2009年版,銀級,3,2016年10月27日,0,標示,元宏聯合建築師事務所,新北市,新店區,新北市新店區禾豐二段162地號等1筆,辦公廳類建築,121.514252,24.93339
724,國立臺灣師範大學林口校區資訊與教學大樓新建工程,地下1層，地上8層鋼筋混凝土構造，鋼骨構造學校類建築,2007年更新版,合格級,1,2016年10月17日,0,標示,潘冀聯合建築師事務所,新北市,林口區,新北市林口區菁埔段新寮小段0039-0008地號等4筆,學校類建築,121.399548,25.067847
725,聖俯建設鶯歌二橋段集合住宅新建工程,地下2層，地上11層鋼筋混凝土構造住宿類建築,2007年更新版,合格級,1,2016年10月2日,0,標示,王金村建築師事務所,新北市,鶯歌區,新北市鶯歌區二橋段556地號等1筆,住宿類建築,121.335858,24.941855
