no,title,county,town,address,tel,mobile
99,新北市板橋區社會奉獻服務協會,新北市,板橋區,富山街100號,(02)22537879,無
100,新北市板橋雙玉環保協會,新北市,板橋區,永豐街251號(雙玉里王聰震里長家),(02)29529786,無
101,新北市新住民促進會,新北市,板橋區,永豐街124號(永豐公園市民活動中心),(02)29561159,無
102,新北市板橋區歡園社區發展協會,新北市,板橋區,大觀路一段38巷1之5號(歡園市民活動中心),(02)29642301,無
103,新北市板橋區中山里辦公處,新北市,板橋區,大觀路二段37巷280號,(02)82752345,無
104,新北市板橋區文化里辦公處,新北市,板橋區,松江街72巷15號,(02)82536211,無
105,新北市板橋區永安里辦公處,新北市,板橋區,雙十路一段25號,(02)22573737,無
106,新北市板橋區溪崑社區發展協會,新北市,板橋區,金門街253巷10弄7號,(02)86751123,無
107,新北市板橋區宏翠里辦公處,新北市,板橋區,長江路一段156巷9弄5號,(02)82585055,無
108,新北市板橋區忠誠里辦公處,新北市,板橋區,陽明街29巷1弄20號,(02)22558859,無
109,新北市板橋區青翠里辦公處,新北市,板橋區,民治街51巷2號,(02)22596936,無
110,新北市板橋區柏翠里辦公處,新北市,板橋區,文化路二段369巷26號,(02)22500232,無
111,新北市板橋區埔墘里辦公處,新北市,板橋區,中山路二段416巷38弄26號,(02)29525320,無
112,新北市板橋區純翠里辦公處,新北市,板橋區,光武街110巷42號,(02)22586898,無
113,新北市板橋區國泰里辦公處,新北市,板橋區,國泰街75巷2弄15號,(02)29627666,無
114,新北市板橋區莒光里辦公處,新北市,板橋區,文化路二段124巷8號,(02)22566699,無
115,新北市板橋區嵐翠里辦公處,新北市,板橋區,仁化街181號,(02)22511104,無
116,新北市板橋區景福社區發展協會,新北市,板橋區,四川路一段157巷7號(福星區民活動中心),(02)29512625,無
117,新北市健康九九輔導關懷促進協會,新北市,板橋區,滿平街69號,(02)26825630,無
118,新北市板橋區溪福里辦公處,新北市,板橋區,金門街336巷7號(溪福市民活動中心),(02)26831254,無
119,新北市板橋區溪頭里辦公處,新北市,板橋區,長江路二段215號9樓,無,936902956
120,新北市板橋區廣福里辦公處,新北市,板橋區,信義路179之1號,(02)89521120,無
121,中華民國紅十字會臺灣省分會板橋老人服務中心,新北市,板橋區,文化路1段301號,(02)22559713,無
122,社團法人玉山菊元協會(板橋新民站),新北市,板橋區,文化路一段120號5樓之1,(02)22542673,無
123,新北市板橋區振義里辦公處,新北市,板橋區,萬安街53巷30號,(02)29512756,923928662
124,新北市板橋區大浮洲發展協進會(大安站),新北市,板橋區,大觀路二段7巷14、9號,(02)29589299,無
125,新北市板橋區歡園社區發展協會,新北市,板橋區,大觀路一段38巷1之5號(歡園市民活動中心),(02)29642301,無
126,新北市板橋區文聖里辦公處,新北市,板橋區,文聖街149巷27號(文聖市民活動中心),(02)22569320,無
127,新北市板橋區板新社區發展協會,新北市,板橋區,民生路二段89號之1號(西安市民活動中心),(02)29535919,無
128,新北市大社后愛心關懷協進會(民權站),新北市,板橋區,民權路202巷9弄39號1樓(民權市民活動中心),(02)29589299,無
129,新北市板橋區玉光里辦公處,新北市,板橋區,玉光里民生路2段臨56號之3(玉光里活動中心),(02)22573307,無
130,新北市板橋區百壽里辦公處,新北市,板橋區,民生路二段臨89之5號(百壽介壽市民活動中心),(02)22561435,無
131,新北市板橋區德翠社區發展協會,新北市,板橋區,新海路403巷22號(新海里巡守崗亭),無,916207589
132,財團法人新北市自強基督教板橋浸禮聖經會,新北市,板橋區,大智街13號,(02)29654997,無
133,新北市板橋區老人會,新北市,板橋區,中正路86號,(02)29692100,無
134,新北市板橋區三民社區發展協會,新北市,板橋區,民生路1段30-1號(民生公園活動中心),(02)29561159,無
135,新北市板橋區三民社區發展協會,新北市,板橋區,民生路1段30-1號(民生公園活動中心),(02)29561159,無
136,新北市板橋區松柏里辦公處,新北市,板橋區,文聖街149巷27號(文聖市民活動中心),(02)82527365,無
137,新北市板橋大後埔文化關懷協進會(重慶站),新北市,板橋區,國慶路149巷3弄7號,(02)29589299,無
138,新北市板橋區老人會,新北市,板橋區,中正路86號,(02)29692100,無
139,新北市板橋區三民社區發展協會,新北市,板橋區,民生路1段30-1號(民生公園活動中心),(02)29561159,無
140,新北市板橋區老人會,新北市,板橋區,中正路86號,(02)29692100,無
141,新北市板橋區留侯里辦公處,新北市,板橋區,福德街2巷5號,(02)29690146,無
142,新北市板橋區十二埒社區發展協會(原:金華社區發展協會),新北市,板橋區,中正路413巷2弄24號(中正市民活動中心),無,912348902
143,新北市新住民促進會,新北市,板橋區,永豐街124號(永豐公園市民活動中心),(02)29561159,無
144,亞東新都廳社區管理委員會,新北市,板橋區,四川路二段98~100號,(02)89674709,無
145,新北市華東關懷服務協會,新北市,板橋區,四川路二段130巷32號(華東市民活動中心),(02)89669361,無
146,財團法人新北市基督教仁愛浸信會,新北市,板橋區,貴興路80號地下一樓,(02)29550629,無
147,新北市板橋區新民里辦公處,新北市,板橋區,漢生東路45號,(02)22565287,無
148,新北市板橋區歡園社區發展協會,新北市,板橋區,大觀路一段38巷1之5號(歡園市民活動中心),(02)29642301,無
149,財團法人中華民國佛教慈濟慈善事業基金會(板橋靜思堂),新北市,板橋區,大觀路二段265巷15號,(02)22187770,無
150,新北市市敏動齡健康關懷協會(板橋文化站),新北市,板橋區,光武街48巷47弄7號2樓,無,963666198
151,新北市板橋區聯翠里辦公處,新北市,板橋區,光武街24巷1號1樓,無,912866985
152,新北市板橋區福祿里辦公處,新北市,板橋區,國泰街39巷7弄15號1、2樓,(02)29570021,無
153,新北市大新板愛心關懷協會(懷翠站),新北市,板橋區,懷德街191巷26弄1號,(02)29589299,無
154,新北市市敏動齡健康關懷協會(板橋文化站),新北市,板橋區,光武街48巷47弄7號2樓,無,963666198
155,新北市三重區老人會,新北市,三重區,信義西街1號一巷信義公園內聯歡聽,(02)29817542,無
156,鎮安宮,新北市,三重區,信義西街1號一巷信義公園內鎮安宮,(02)29857672,無
157,社團法人新北市國度關懷協會,新北市,三重區,重新路四段39-1號4樓,(02)29862747,無
158,財團法人志浩慈善基金會,新北市,三重區,重新路5段609巷10號2樓之2,(02)29998790,無
159,新北市三重區慈祐里辦公處,新北市,三重區,仁愛街425巷9之1號(慈祐市民活動中心),(02)29882975,無
160,新北市三重區永發里辦公處,新北市,三重區,中正北路193巷45號(愛買市民聯誼中心),(02)29845190,無
161,新北市三重區永德里辦公處,新北市,三重區,自強路3段42巷11號(後竹圍市民活動中心),(02)29869999,無
162,新北市三重區田安里辦公處,新北市,三重區,中華路125號(聯邦市民活動中心),(02)89881235,無
163,新北市三重區立德里辦公處,新北市,三重區,忠孝路二段30號(和平市民活動中心),(02)29890227,無
164,新北市三重區光田里辦公處,新北市,三重區,中華路5號(興華市民活動中心),(02)29852477,無
165,新北市三重區福民里辦公處,新北市,三重區,成功路9號1(中興橋市民活動中心),(02)29764185,無
166,新北市三重區福田里辦公處,新北市,三重區,三民街256號(福田市民活動中心),(02)29821513,無
167,新北市三重區福星里辦公處,新北市,三重區,中央北路26號4樓(華錦里民休閒處),(02)29753377,無
168,新北市三重活躍樂齡協會,新北市,三重區,重陽路一段60巷101號(重陽市民活動中心),(02)29891010,無
169,新北市三重區三合社區發展協會,新北市,三重區,自強路四段84號B1(廣一市民活動中心),(02)82873568,無
170,新北市三重區溪美里辦公處,新北市,三重區,自強路四段84號B1(廣一市民活動中心),(02)89850578,無
171,新北市三重溪美公共托老中心,新北市,三重區,溪尾街73號4樓,(02)89859771,無
172,新北市三重區大同社區發展協會,新北市,三重區,大同北路186號(大同市民活動中心),(02)29891987,無
173,新北市福齡松青會,新北市,三重區,大同北路186號(大同市民活動中心B1),(02)29893406,無
174,新北市三重區大智社區發展協會,新北市,三重區,中正北路27-1號(新北市三重區中正北路高架路橋下空間),(02)29850601,無
175,新北市三重區大園里辦公處,新北市,三重區,大同北路186號(大同市民活動中心),(02)89813827,無
176,新北市三重區大德里辦公處,新北市,三重區,台北橋下橋孔(台北橋市民活動中心),(02)29752526,無
177,新北市三重區中山里辦公處,新北市,三重區,大同北路186號(大同市民活動中心),(02)29850601,無
178,新北市三重區中正里辦公處,新北市,三重區,中寮街57巷18號(菜寮市民活動中心),(02)29767086,無
179,新北市三重區五谷里辦公處,新北市,三重區,五谷王北街77號(先嗇宮文教活動中心),(02)29956721,無
180,新北市三重區五華里辦公處,新北市,三重區,仁義街228巷12號(五華市民活動中心),(02)29899369,無
181,新北市三重區五順里辦公處,新北市,三重區,仁義街211巷13號,(02)29809877,無
182,新北市三重區五福里辦公處,新北市,三重區,環河北路三段86號(重陽橋市民活動中心),(02)29886880,無
183,新北市三重區六福里辦公處,新北市,三重區,中正北路145巷8弄13號,(02)89819197,無
184,新北市三重區民俗文化協會,新北市,三重區,秀江街28號(龍濱市民活動中心),(02)89938693,無
185,新北市三重區永吉里辦公處,新北市,三重區,車路頭街133號(永盛市民活動中心),(02)22863864,無
186,新北市三重區永盛里辦公處,新北市,三重區,車路頭街133號(永盛市民活動中心),(02)22808026,無
187,新北市三重區永清里辦公處,新北市,三重區,力行路二段162巷55號(永福市民活動中心),(02)22875312,無
188,新北市三重區永順里辦公處,新北市,三重區,永福街197巷6-1號(永豐市民活動中心),(02)22874945,無
189,新北市三重區永福里辦公處,新北市,三重區,力行路二段162巷55號(永福市民活動中心),(02)22868660,無
190,新北市三重區永興里辦公處,新北市,三重區,台北橋下橋孔(台北橋市民活動中心),(02)89727918,無
191,新北市三重區永豐里辦公處,新北市,三重區,永福街197巷6-1號(永豐市民活動中心),(02)82839236,無
192,新北市三重區田中里辦公處,新北市,三重區,忠孝路三段40巷51號(三民市民活動中心 ),(02)29809555,無
193,新北市三重區田心里辦公處,新北市,三重區,中華路125號B1(聯邦市民活動中心),(02)29881269,無
194,新北市三重區聯邦社區發展協會,新北市,三重區,中華路125號(聯邦市民活動中心),(02)29811910,無
195,新北市三重區光陽里辦公處,新北市,三重區,重陽路一段60巷101號(重陽市民活動中心),(02)29809019,無
196,新北市三重區光榮里辦公處,新北市,三重區,福裕街34號,(02)29721166,無
197,新北市三重區光輝社區發展協會,新北市,三重區,正義南路62-1號B1(光興市民活動中心),(02)29742094,無
198,新北市三重區成功里辦公處,新北市,三重區,成功路9號1(中興橋市民活動中心),(02)89731655,無
199,新北市三重區秀江里辦公處,新北市,三重區,公園街3號,(02)29757317,無
200,新北市三重區幸福里辦公處,新北市,三重區,安慶街322號,(02)29850265,無
201,新北市三重區忠孝里辦公處,新北市,三重區,正義南路89巷16號(里辦公處),(02)29730087,無
202,新北市三重區承德里辦公處,新北市,三重區,仁壽街200號&龍門路274巷36號(三德市民活動中心),(02)29754164,無
203,社團法人中華民國長者照顧關懷協會,新北市,三重區,長江里3鄰長安街112號,無,932295263
204,新北市三重區厚德里辦公處,新北市,三重區,三和路三段170巷49號(厚德市民活動中心),(02)29822008,無
205,新北市三重區崇德里辦公處,新北市,三重區,仁福街64巷22號,(02)89726351,無
206,新北市三重區崇德社區發展協會,新北市,三重區,龍門路274巷36號(三德市民活動中心),(02)29811910,無
207,新北市三重區瑞德里辦公處,新北市,三重區,仁昌街83號,(02)29755360,無
208,新北市三重區清和里辦公處,新北市,三重區,台北橋下橋孔(台北橋市民活動中心),(02)29701895,無
209,新北市三重區富福里辦公處,新北市,三重區,溪尾街327號(慈化市民活動中心),(02)29813097,無
210,新北市三重區順德里辦公處,新北市,三重區,河邊北街256巷28號,(02)29786144,無
211,新北市三重區慈愛里辦公處,新北市,三重區,仁美街108巷13號(慈愛市民活動中心),(02)22879957,無
212,新北市三重區萬壽里辦公處,新北市,三重區,萬全街64號,(02)29762969,無
213,新北市三重區福華社區發展協會,新北市,三重區,溪尾街327號(慈化市民活動中心),(02)29824396,無
214,新北市三重區福隆里辦公處,新北市,三重區,自強路四段84號(廣一市民活動中心),(02)82876666,無
215,新北市三重區福樂里辦公處,新北市,三重區,三和路四段125巷59號,(02)22862250,無
216,中華全齡關懷協會(三重福樂分站),新北市,三重區,三和路四段125巷85號1樓,無,953519101
217,新北市三重區德厚里辦公處,新北市,三重區,重新路五段238號(重新橋第2市民活動中心),(02)29997762,無
218,新北市三重區錦通里辦公處,新北市,三重區,中央北路26號4樓(華錦里民休閒處),(02)29728479,無
219,新北市三重區雙園里辦公處,新北市,三重區,雙園街1號(正義市民活動中心),(02)29883277,無
220,新北市三重區鶴齡協會,新北市,三重區,環河北路三段86號(重陽橋市民活動中心),(02)29805512,無
221,社團法人新北市恩典慈善協會,新北市,三重區,重安街46號,(02)29735089,無
222,新北市三重區光明里辦公處,新北市,三重區,集美街126巷47號1樓,(02)82851391,無
223,新北市愛笑瑜伽協會,新北市,三重區,中正北路20巷3號,(02)89883840,無
224,新北市福祉關懷推廣協會,新北市,三重區,重新路四段254-1號(重新橋第1市民活動中心),(02)29774176,無
225,新北市三重區大有里辦公處,新北市,三重區,中正北路428巷22號(里辦公處),(02)29814448,無
226,新北市三重區親子協會,新北市,三重區,疏洪東路二段131號(二重埔市民活動中心),(02)29885909,無
227,新北市三重區聯邦社區發展協會,新北市,三重區,中華路125號(聯邦市民活動中心),(02)29811910,無
228,新北市歌藝語文發展協會(三重三安站),新北市,三重區,六張街66號(六張市民活動中心),無,956128369
229,社團法人新北市恩典慈善協會,新北市,三重區,重安街46號,(02)29735089,無
230,社團法人新北市恩典慈善協會,新北市,三重區,重安街46號,(02)29735089,無
231,新北市環保志工協會,新北市,三重區,錦安里16鄰長生街1號1樓,無,938286376
232,社團法人新北市恩典慈善協會,新北市,三重區,重安街46號,(02)29735089,無
233,中華全齡關懷協會(三重福樂站),新北市,三重區,三和路四段125巷85號1樓,無,953519101
234,新北市三重區仁忠里辦公處,新北市,三重區,仁愛街327巷49號,(02)29847778,無
235,新北市三重區仁華里辦公處,新北市,三重區,碧華街50號,(02)28578497,無
236,新北市三重區仁義里辦公處,新北市,三重區,重安街160-1號(忠孝橋市民活動中心),(02)29722837,無
237,新北市三重區仁德里辦公處,新北市,三重區,正義北路28巷40號1樓(重新里民活動中心),(02)29755201,無
238,新北市三重區介壽里辦公處,新北市,三重區,萬全街22號,(02)29734120,無
239,新北市三重區平和里辦公處,新北市,三重區,中正南路80巷3號1-2樓,(02)29738536,無
240,新北市三重區正安里辦公處,新北市,三重區,大智街45-2號4樓(正安市民活動中心),(02)29829802,無
241,新北市三重區正義社區發展協會,新北市,三重區,自強路一段158號B1(新北市立圖書館三重分館),(02)29839802,無
242,新北市三重區正義社區發展協會,新北市,三重區,自強路一段158號B1(新北市立圖書館三重分館),(02)29839802,無
243,新北市三重區永安里辦公處,新北市,三重區,車路頭街133號(永盛市民活動中心),(02)22870112,無
244,新北市三重區永春里辦公處,新北市,三重區,中寮街57巷18號(菜寮市民活動中心),(02)29780087,無
245,新北市歌藝語文發展協會(三重永煇站),新北市,三重區,自強路三段42巷11號(後竹圍市民活動中心),無,956128369
246,新北市三重區光正里辦公處,新北市,三重區,環河南路220之3號,(02)29785287,無
247,新北市三重區光華里辦公處,新北市,三重區,重新路一段87號4樓(重新市民活動中心),(02)29753977,無
248,新北市三重區吉利里辦公處,新北市,三重區,中寮街114號1-2樓,(02)29772815,無
249,新北市三重區同安里辦公處,新北市,三重區,重安街160-1號(忠孝橋市民活動中心),(02)29703252,無
250,社團法人中華民國三重中央浸信協會,新北市,三重區,集美街148號2樓、150號4樓,(02)29789262,無
251,新北市玄峯愛心慈善會,新北市,三重區,"仁愛街75號1-2樓、77號1-2樓
新北市三重區三和路3段101巷64號",無,963356789
252,新北市三重區正義社區發展協會,新北市,三重區,自強路一段158號B1(新北市立圖書館三重分館),(02)29839802,無
253,新北市三重區自強里辦公處,新北市,三重區,正義北路256巷133號,(02)29715209,無
254,財團法人志浩慈善基金會,新北市,三重區,重新路5段609巷10號2樓之2,(02)29998790,無
255,新北市玄峯愛心慈善會,新北市,三重區,"仁愛街75號1-2樓、77號1-2樓
新北市三重區三和路3段101巷64號",無,963356789
256,社團法人中華民國長者照顧關懷協會,新北市,三重區,長江里3鄰長安街112號,無,932295263
257,新北市環保志工協會,新北市,三重區,錦安里16鄰長生街1號1樓,無,938286376
258,新北市環保志工協會,新北市,三重區,錦安里16鄰長生街1號1樓,無,938286376
259,社團法人中華民國長者照顧關懷協會,新北市,三重區,長安街112號,無,932295263
260,社團法人中華民國長者照顧關懷協會,新北市,三重區,長江里3鄰長安街112號,無,932295263
261,三重信安宮,新北市,三重區,重陽路四段114巷13號,(02)29866011,無
262,新北市玄峯愛心慈善會,新北市,三重區,"仁愛街75號1-2樓、77號1-2樓
新北市三重區三和路3段101巷64號",無,963356789
263,新北市三重區大同社區發展協會,新北市,三重區,大同北路186號(大同市民活動中心),(02)29891987,無
264,新北市樂來越愛你關懷協會,新北市,三重區,正義北路28巷40號1樓(重新里民活動中心),無,922213490
265,新北市三重區培德里辦公處,新北市,三重區,忠孝路2段35號B1(培德市民活動中心),無,925066800
266,財團法人志浩慈善基金會,新北市,三重區,重新路5段609巷10號2樓之2,(02)29998790,無
267,新北市三重區博愛里辦公處,新北市,三重區,疏洪東路二段131號(二重埔市民活動中心),(02)29817675,無
268,社團法人台灣多元社會福利協會(三重過田站),新北市,三重區,過圳街7巷5號1樓,(02)29711266,無
269,新北市三重區開元里辦公處,新北市,三重區,開元街1號(開元市民活動中心),(02)29739075,無
270,中華全齡關懷協會(三重福樂站),新北市,三重區,三和路四段125巷85號1樓,無,953519101
271,新北市三重區慈惠里辦公處,新北市,三重區,溪尾街218巷40號,(02)22862522,無
272,中華全齡關懷協會(三重福樂站),新北市,三重區,三和路四段125巷85號1樓,無,953519101
273,新北市三重區碧華里辦公處,新北市,三重區,溪尾街327號(慈化市民活動中心),(02)28574627,無
274,新北市三重區福安里辦公處,新北市,三重區,六張街66號(六張市民活動中心),(02)29858098,無
