序號,據點名稱,行政區,據點地址,電話
81,"臺北市復華長青多元服務中心(財
團法人台灣省私立健順養護中心)",中山區,臺北市中山區復華里遼寧街185巷11號,02-27171393#16
82,財團法人臺北市松年長春社會福利基金會(中山),中山區,臺北市中山區行仁里龍江路318巷7號1樓,02-25000206
83,財團法人新北市基督教新希望教會(江寧),中山區,臺北市中山區江寧里龍江路286巷2號,02-28815100
84,社團法人台北市家庭照顧者關懷協會,中山區,臺北市中山區北安里北安路805巷4弄5號地下,0916-780645
85,臺北市中山區晴光里辦公處,中山區,臺北市中山區晴光里雙城街18巷20號,0981-201026
86,社團法人臺北市中山區大直社區發展協會(大直一),中山區,臺北市中山區大直里大直街21巷2號4樓 (大直區民活動中心)及大直街39巷3號1樓,02-25329522
87,社團法人臺北市中山區大直社區發展協會,中山區,臺北市中山區大直街1號4樓及大直街39巷3號1樓,02-25329522
88,財團法人新北市基督教新希望教會(新喜),中山區,臺北市中山區新喜里吉林路433巷17號,02-28815100
89,財團法人台北市台北中華基督教會,中山區,臺北市中山區康樂里中山北路2段45巷 39號,02-25118021
90,財團法人基督教台灣信義會(大直真理堂),中山區,臺北市中山區金泰里敬業三路162巷109號1樓,02-85011754
91,財團法人政慧發展社會福利慈善事業基金會,中山區,臺北市中山區朱園里南京東路2段160號 7樓,02-25172068
92,財團法人台灣老人急重症基金會 (聚盛據點),中山區,"臺北市中山區聚盛里民生東路1段23巷2號
臺北市中山區民生東路1段42號7樓之3",02-25224388
93,財團法人台灣老人急重症基金會 (龍洲據點),中山區,臺北市中山區龍洲里民生東路3段88巷1號,02-25224388
94,社團法人臺北市生命樹健康關懷協會,中山區,臺北市中山區永安里北安路458巷41弄 50號,02-25327514
95,財團法人台灣老人急重症基金會 (中山據點),中山區,臺北市中山區中山里中山北路二段77巷 14號3樓,02-25224388
96,社團法人台灣基督教展翔天地全人發展協會,中正區,臺北市中正區文盛里汀州路3段101號1樓,02-23656123
97,台北市廣西同鄉會,中正區,臺北市中正區梅花里忠孝東路1段35號7樓,02-23210375
98,臺北市中正區永寬社區發展協會,中正區,臺北市中正區永昌里寧波西街181巷8號,02-23014838
99,社團法人臺北市臻佶祥社會服務協會,中正區,臺北市中正區忠勤里中華路2段315巷 14、16、18號,02-23036281
100,台灣旺齡協會,中正區,臺北市中正區頂東里羅斯福路3段84巷 13、15號1樓,02-23680690
101,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(古亭靈糧福音中心),中正區,臺北市中正區永功里三元街198號1樓,02-23396540
102,臺北市永昌長青會,中正區,臺北市中正區永昌里寧波西街181巷24號1樓,02-23071068
103,台北市寶藏巖文化村協會,中正區,臺北市中正區水源里汀州路3段230巷14弄10號,0926-579112
104,財團法人臺北市松年長春社會福利基金會(中正),中正區,臺北市中正區南福里羅斯福路1段94、 96號11樓(中央教會),02-23948486
105,財團法人伽耶山基金會,中正區,臺北市中正區文北里濟南路2段36號2樓、3樓、4樓,02-23946800
106,財團法人環宇國際文化教育基金會,中正區,臺北市中正區文盛里羅斯福路3段240巷 17弄3號,02-23660743
107,臺北市中正區新林興社區發展協會,中正區,臺北市中正區林興里水源路21號,0933-213180
108,財團法人耕莘文教基金會,中正區,臺北市中正區文盛里辛亥路1段22號4樓,02-23655615
109,財團法人中華基督教廈門街浸信會,中正區,臺北市中正區螢圃里廈門街81巷20號,02-23687582
110,台北市愛羊全人關懷協會,中正區,臺北市中正區龍光里和平西路2段17號2樓,02-23048578
111,社團法人愛福家協會,中正區,臺北市中正區新營里金華街20號1樓,02-23567317
112,臺北市內湖區紫雲社區發展協會,內湖區,臺北市內湖區紫雲里康寧路1段228號,02-27913337
113,臺北市內湖區石潭社區發展協會,內湖區,臺北市內湖區石潭里成功路2段1號,02-27937177
114,內湖區湖興里辦公處,內湖區,臺北市內湖區湖興里成功路2段320巷19號3樓,02-27914586
115,臺北市內湖區清白社區發展協會,內湖區,"臺北市內湖區清白里星雲街168巷29號1樓
臺北市內湖區清白里星雲街161巷3號 (清白區民活動中心)",02-27909195
116,財團法人基督教中國佈道會,內湖區,臺北市內湖區康寧里康寧路3段99巷39弄66號,02-26320867
117,內湖區寶湖里辦公處,內湖區,臺北市內湖區寶湖里民權東路6段208號,0931-302823
118,財團法人台北市基督教台灣貴格會內湖慈光堂,內湖區,臺北市內湖區瑞陽里文德路66巷49弄5號,02-27976651
119,臺北市麗山社區關懷協會,內湖區,臺北市內湖區港都里麗山街348巷22號 1-2樓及24號2樓(麗山禮拜堂),02-26270443#20
120,財團法人福智慈善基金會(內湖據點),內湖區,臺北市內湖區內湖里內湖路2段486、 488號3樓,02-27963275
121,財團法人基督教台灣信義會(內湖思恩堂),內湖區,臺北市內湖區紫星里康寧路1段62號,02-27901497
122,中華民國天使之家全人關懷協會,內湖區,臺北市內湖區湖興里成功路2段240-242號1樓,02-27909454
123,台北市內湖紳士協會,內湖區,臺北市內湖區港墘里內湖路1段552號 (港墘區民活動中心),0918-819089
124,財團法人福智慈善基金會(東湖據點),內湖區,臺北市內湖區五分里東湖路106巷6號1樓,0933-922709
125,臺北市內湖區碧湖社區發展協會,內湖區,臺北市內湖區金龍里金龍路136-1號2樓,02-87926024
126,台北市內湖永續發展協會,內湖區,臺北市內湖區金龍里金龍路136-1號2樓臺北市內湖區金龍里金龍路67巷7號1樓,02-27908099
127,臺北市內湖區安泰里社區發展協會,內湖區,臺北市內湖區安泰里安泰街65巷5號1樓,0917-979715
128,臺北市內湖區灣仔社區發展協會,內湖區,臺北市內湖區寶湖里民權東路6段208號 6樓(臺北市網球中心6樓),0961-365688
129,財團法人台灣基督教恩惠福音會,內湖區,臺北市內湖區港墘里內湖路1段608號,02-27971000
130,財團法人基督教救世軍(內湖隊),內湖區,臺北市內湖區西湖里內湖路1段285巷63弄7號,02-27990098
131,臺北市內湖區大湖里辦公處,內湖區,臺北市內湖區大湖里大湖山莊街117號4樓,0939-020275
132,臺北市內湖社區安全與健康協進會,內湖區,臺北市內湖區寶湖里民權東路6段208號,02-27934447
133,社團法人社區大學全國促進會,內湖區,臺北市內湖區石潭里新明路22號純美樓 3樓,02-66050919
134,社團法人中華民國士林靈糧堂社會福利協會,內湖區,臺北市內湖區明湖里1鄰康寧路3段99巷 6弄12號1樓,02-26335990
135,康寧學校財團法人康寧大學,內湖區,臺北市內湖區金湖里康寧路3段75巷137號,02-26321181
136,台北市文山區順興社區發展協會,文山區,臺北市文山區順興里興隆路4段165巷12號1.2樓&忠順區民活動中心(忠順街2段 22號2樓),02-29395932
137,臺北市文山區老人服務中心(財團法人恆安社會福利慈善事業基金會),文山區,臺北市文山區萬興里萬壽路27號6樓,02-22344893
138,台灣迦美福音傳播協會,文山區,臺北市文山區景華里三福街74巷2號1樓,02-29348952
139,臺北市文山區興旺社區發展協會,文山區,臺北市文山區興旺里福興路5號,0936-048808
140,臺北市文山區順興里辦公處,文山區,臺北市文山區順興里興隆路4段165巷50號1樓及保儀路138巷26-28號(司法新 村)、木柵忠順廟,0934-143675
141,財團法人台北市活石基督徒團契,文山區,臺北市文山區萬興里指南路2段45巷24弄17號,02-29399784
142,台北市文山區樟林社區發展協會,文山區,臺北市文山區樟文里木新路3段310巷4號2樓之1,02-29369071
143,中華民國紅心字會(興隆),文山區,臺北市文山區明義里興隆路4段105巷47號1樓,02-2367119
144,台北市文山區景慶社區發展協會,文山區,臺北市文山區景慶里景福街126號， 羅斯福路6段393號6.8樓,0922-313747
145,台北市梘尾關懷互助協會,文山區,臺北市文山區景慶里萬慶街6號,02-89351788
146,財團法人利伯他茲教育基金會,文山區,臺北市文山區木新里永安街1號,02-29394359
147,社團法人台北市基督教萬芳浸信會,文山區,臺北市文山區萬芳里萬美街1段19巷5號,02-22303518
148,財團法人台北市松年長春社會福利基金會(開元),文山區,"臺北市文山區木新里開元街25,27號",02-25000206
149,台灣美滿家庭社區服務協會,文山區,臺北市文山區萬興里指南路2段11號,02-29390544
150,台北市文山區德芳社區發展協會,文山區,"臺北市文山區興邦里興隆路2段153巷6弄5號1樓
臺北市文山區興隆路2段97號4樓",0952-858586
151,台北市文山區萬和社區發展協會,文山區,臺北市文山區萬和里汀州路4段251、 253號1樓、萬福區民活動中心,02-89310117
152,臺北市文山區忠順社區發展協會,文山區,"臺北市文山區忠順里興隆路4段145巷9弄3號
臺北市文山區興隆路4段145巷30號",02-29399569
153,臺北市文山區樟新社區發展協會,文山區,臺北市文山區樟新里一壽街22號9樓教室2,02-29376288
154,社團法人中華民國沐光家園癌友關懷協會,文山區,臺北市文山區興業里興隆路2段220巷 51-1號,02-29305747
155,社團法人台灣喜樂家族協會(靜心),文山區,臺北市文山區興福里景華街121巷7弄2號,0955-004491
156,臺北市文山區華興里辦公處,文山區,"臺北市文山區華興里木柵路1段177號3樓之1
臺北市文山區木柵路1段264號",02-29361780
157,家禾認知社區關懷協會,文山區,臺北市文山區政大里政大1街3號1樓,0928-591139
158,臺北市文山區景人社區發展協會,文山區,臺北市文山區景仁里景福街5號1樓,0937-939606
159,社團法人台北市文山區明興社區發展協會,文山區,"臺北市文山區明興里木柵路2段109巷25弄6號
臺北市文山區明興里興隆路4段61號",02-22340391
160,財團法人臺北市松年長春社會福利基金會(景華),文山區,臺北市文山區景華里景華街49巷1號,02-89311230
161,臺北市文山區萬盛里辦公處,文山區,臺北市文山區萬盛里興隆路1段15號3樓 (臺北花木批發市場),02-29343389
162,臺北市文山區興福里辦公處,文山區,臺北市文山區興福里景華街121巷7弄1號,02-29322888
163,社團法人台灣守護有祢生命關懷協會(守護八禱小站),北投區,臺北市北投區立農里吉利街231號1樓,02-28942293
164,臺北市北投區硫磺谷社區發展協會,北投區,臺北市北投區文化里文化三路4、5樓,0910-412056
165,臺北市北投區我愛石牌社區發展協會,北投區,臺北市北投區石牌里建民路116巷13 號,02-28201369
166,臺北市北投區吉慶社區發展協會,北投區,臺北市北投區吉慶里致遠二路61巷2-2號,02-28282002
167,社團法人中華仁親社區關懷協會 (北投好厝邊),北投區,臺北市北投區中心里大業路721號1樓,02-28914149
168,社團法人台灣愛喜樂關懷協會,北投區,臺北市北投區裕民里明德路161號1樓,02-28224466
169,臺北市北投區振華社區發展協會,北投區,臺北市北投區振華里裕民一路40巷37號 1樓,02-28236110
170,社團法人台灣守護有祢生命關懷協會(守護復興崗小站),北投區,臺北市北投區稻香里稻香路81號6樓(第一及二教室),02-28942293
171,台北市北投區榮光社區發展協會,北投區,臺北市北投區榮光里石牌路1段166巷43弄15號,02-28231593
172,臺北市北投區立群社區發展協會,北投區,臺北市北投區立賢里尊賢街251巷18號1樓 (里民活動場所),02-28225613
173,臺北市北投區幸福永和社區發展協會,北投區,臺北市北投區永和里行義路63號,02-28753298
174,社團法人國際奔享體驗教育發展協會(吉利真光),北投區,臺北市北投區吉利里石牌路1段39巷80弄41號1樓,02-28288884
175,台北市石牌長青會,北投區,臺北市北投區長安里中央北路1段12號3樓及4樓,02-28913812
176,台北市石牌全人關懷協會,北投區,臺北市北投區榮華里明德路283號,02-28262602#11
177,社團法人台灣多元社會福利協會 (溫馨園),北投區,臺北市北投區溫泉里溫泉路68-10號,02-28927001
178,社團法人台灣喜樂家族協會(關渡據點）,北投區,臺北市北投區關渡里知行路260巷26號,0975-661071
179,財團法人台北市北投文化基金會,北投區,臺北市北投區林泉里中山路5-12號(據點設於北投社區大學內，同為新民國中後門地址),02-28917453
180,臺北市北投區新石牌社區發展協會,北投區,臺北市北投區石牌里自強街120巷15弄8號,02-28236699
181,臺北市北投區清江社區發展協會,北投區,臺北市北投區清江里清江路201號,02-28922543
182,臺北市北投區永和社區發展協會,北投區,臺北市北投區永和里行義路138-1號1樓,02-28765741
183,台北市北投區福興社區發展協會,北投區,臺北市北投區福興里自強街5巷22號,0955-404968
184,社團法人中華健康美好生活協會 (洲美),北投區,臺北市北投區洲美里福美路207號、209號1樓,0910-302055
185,社團法人國際奔享體驗教育發展協會(稻香真光),北投區,臺北市北投區稻香路81號,02-28288884
186,臺北市北投區裕民里辦公處,北投區,臺北市北投區裕民里懷德街14巷17號,0910-302055
187,社團法人台北市北投區尊賢社區發展協會,北投區,臺北市北投區尊賢里尊賢街302巷19號1樓,02-28270945
188,臺北市松山區建源社區發展協會,松山區,臺北市松山區復建里八德路3段158巷7弄47號,02-25791689
189,財團法人伊甸社會福利基金會,松山區,臺北市松山區復勢里八德路3段155巷4弄35號1樓,02-25702560
190,社團法人台北市向日葵慈善協會,松山區,臺北市松山區東勢里南京東路4段133巷 7弄9號1樓,02-87706501
191,臺北市松山區慈祐里辦公處,松山區,臺北市松山區慈祐里八德路4段580號1樓,0988-587216
192,財團法人雙福社會福利慈善事業基金會(蒙恩),松山區,臺北市松山區復勢里光復北路112號8樓,02-23922993
193,社團法人中國老人教育協會,松山區,臺北市松山區自強里三民路35巷9號,02-27565010
194,社團法人台北市二村基石關懷協會,松山區,臺北市松山區東榮里民生東路5段69巷2弄10、12號,02-27632002
195,世界潘氏宗親總會,松山區,臺北市松山區東光里南京東路5段29號3樓,02-27678497
196,社團法人愛樂福關懷文創發展協會,松山區,臺北市松山區莊敬里撫遠街367巷4號,02-27649475
197,財團法人中華基督教衛理公會恩友堂,松山區,臺北市松山區安平里寶清街123號,02-27670760
198,社團法人台北市光鹽關懷發展協會,松山區,臺北市松山區東勢里南京東路4段107號 12樓,02-27123242
199,社團法人台北市長期照護發展協會,松山區,臺北市松山區自強里三民路35巷9號1樓,02-27420058
200,臺北市松山區東勢里辦公處,松山區,臺北市松山區東勢里南京東路4段133巷 8弄7號、17號,02-27170369
201,財團法人中華民國佛教慈濟慈善事業基金會(松山聯絡處),松山區,臺北市松山區吉祥里南京東路5段188號 16樓,0937-903855
202,財團法人臺安基金會(基督復臨安息日會松山教會),松山區,臺北市松山區福成里敦化南路1段78號,02-27716823
203,臺北市體適能指導工作人員職業工會,松山區,臺北市松山區美仁里敦化北路3號,0985-985586
204,臺北市松山區中正里辦公處,松山區,臺北市松山區中正里長安東路2段229號 12樓,02-27717533
205,社團法人台北市銀髮族協會(松山),松山區,臺北市松山區安平里寶清街42號2樓,02-87806411
206,臺北市松山區安平社區發展協會,松山區,臺北市松山區安平里寶清街42號2樓,02-27636898
207,中華樂活推廣協會,松山區,臺北市松山區三民路136巷3號,0937-073980
208,財團法人臺北市松年長春社會福利基金會（松山）,松山區,臺北市松山區慈祐里饒河街105號,0983-180401
209,財團法人台北市私立永年社會福利慈善基金會,松山區,臺北市松山區復勢里光復北路80巷1號1樓,02-25773533
210,財團法人弘道老人福利基金會(松山),松山區,臺北市松山區民福里復興北路451號1樓,02-66131314
211,臺北市信義區三犁里辦公處,信義區,臺北市信義區三犁里信義路5段150巷14弄6號1樓,0911-822428
212,社團法人台灣厝邊有愛關懷協會 (中坡教會),信義區,臺北市信義區中坡里大道路127-1號,02-27260320
213,臺北市信義松光里辦公處,信義區,臺北市信義區松光里忠孝東路5段492巷 32號,02-27278925
214,財團法人台北市基督教全人福利事業基金會(吳興教會),信義區,臺北市信義區三張里吳興街269巷18弄8號,02-27589796
215,社團法人台灣厝邊有愛關懷協會 (永吉教會),信義區,臺北市信義區廣居里虎林街155、157、 159號,02-27238578
216,財團法人中華民國大同老人福利基金會,信義區,臺北市信義區興雅里基隆路1段155號3樓之6-9,02-27670563
217,臺北市信義區西村里辦公處,信義區,臺北市信義區西村里基隆路1段364巷22號,02-27586396
218,臺北市基督教新榮耀堂福音協進會,信義區,臺北市信義區大道里忠孝東路5段782號,02-27276003
219,臺北市信義區永安社區發展協會,信義區,臺北市信義區長春里松山路294號4樓,0963-763236
220,台北市紅十字會,信義區,臺北市信義區中興里信義路4段415號5樓之3,02-27583009
221,臺北市信義區五全里辦公處,信義區,臺北市信義區五全里永吉路278巷1弄13號,02-27620007
222,臺北市信義區中行里辦公處,信義區,臺北市信義區中行里福德街268巷32號,02-27274777
223,臺北市信義區惠安里辦公處,信義區,臺北市信義區惠安里吳興街506巷21號,02-27588650
224,臺北市信義區松友社區發展協會,信義區,臺北市信義區松友里信義路6段76巷2弄 22號1樓,02-23466669
225,財團法人台北市中華基督教信義會(復興堂),信義區,臺北市信義區中興里信義路4段375號10樓之2,02-27200440
226,台北市君賀人本關懷協會,信義區,"臺北市信義區中行里福德街221巷15號
（瑠公國中）",02-23278616
227,中華民國紅心字會(信義),信義區,臺北市信義區興雅里松隆路36號4樓,02-87870300
228,社團法人臺北市信義區雙和社區發展協會,信義區,臺北市信義區雙和里吳興街284巷24弄 12號(雙和社區活動中心),02-27381447
229,中華民國老人福利協進會,信義區,臺北市信義區信安街78-80號2樓,02-27382357
230,財團法人中華民國佛教慈濟慈善事業基金會(東區會所),信義區,臺北市信義區永吉里松隆路327號,0937-903855
231,臺北市信義區安康里辦公處,信義區,臺北市信義區安康里虎林街232巷55號,02-27273989
232,社團法人台北市銀髮族協會(信義),信義區,臺北市信義區中坡里中坡南路277號1樓,02-87806411
233,臺北市信義區挹翠社區發展協會,信義區,臺北市信義區六合里紫雲街23號1樓,02-27228636
234,臺北市信義區雙春社區發展協會,信義區,臺北市信義區長春里松山路294號2樓,02-27695123
235,財團法人雙福社會福利慈善事業基金會 (信義),信義區,"臺北市信義區正和里光復南路443巷9號
／光復南路447-44號",02-27299580
236,臺北市信義區國業里辦公處,信義區,臺北市信義區國業里虎林街222巷15號,02-27262518
237,臺北醫學大學高齡健康管理學系 (大我新舍),信義區,臺北市信義區黎安里和平東路3段599號,02-27361661
238,財團法人臺北醫學大學展齡中心 (信義),信義區,臺北市信義區景勤里吳興街156巷16弄7號1樓,02-27365986
239,臺北市南港區仁福社區發展協會,南港區,臺北市南港區仁福里福德街373巷61號1樓,0908-279069
240,財團法人台灣基督傳道會復生教會,南港區,臺北市南港區舊莊里南深路21巷18號,02-27822075
241,社團法人中華基督教加倍愛全人關懷協會,南港區,臺北市南港區中南里忠孝東路7段625巷 16號,02-26538820
242,"社團法人台灣厝邊有愛關懷協會
（鍚安教會）",南港區,臺北市南港區玉成里玉成街20號,02-27831891
243,臺北市南港舊莊社區發展協會,南港區,臺北市南港區舊莊里舊莊街1段91巷11號,0935-633688
244,臺北市南港區仁福里辦公處,南港區,臺北市南港區仁福里福德街443號1樓,0919-619949
245,社團法人臺灣厝邊有愛關懷協會 (中研教會),南港區,臺北市南港區中研里研究院路2段11巷5號,02-27824636
246,台北市後山埤文化發展協會,南港區,臺北市南港區聯成里東新街77巷31號,02-27851737
247,財團法人以琳基督徒中心,南港區,臺北市南港區合成里中坡北路92號2樓,02-26511002
248,臺北市全人探索協會,南港區,臺北市南港區玉成里八德路4段768之1號4樓至6樓,02-27826939
249,台北市南港區鴻福社區發展協會,南港區,臺北市南港區鴻福里成福路92號1樓臺北市南港區鴻福里成福路82號1樓,02-27834848
