data_time,seq,restaurant_category,restaurant_name,phone,ext,mobile,address,extra_eco_actions
2024-05-01 02:07:10+00,32,環保餐廳,Mentari萌太利(微風台大醫院商場),(02)23952298,8123,"",臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
2024-05-01 02:07:10+00,33,環保餐廳,Miso微笑韓國料理,(02)23670281,"","",臺北市大安區金山南路二段6號,環境管理
2024-05-01 02:07:10+00,34,環保餐廳,mister donut,(02)23816949,"","",臺北市萬華區台北市萬華區桂林路1號,環境管理
2024-05-01 02:07:10+00,35,環保餐廳,Mos摩斯漢堡(北榮美食街),(02)28710185,"","",臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,36,環保餐廳,Mos摩斯漢堡(微風台大醫院商場),(02)23952298,8140,"",臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
2024-05-01 02:07:10+00,37,環保餐廳,N° 168 PRIME,(02)66176168,"","",臺北市大安區敦化南路一段246號7F,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,38,環保餐廳,Nara Thai Cuisine 台北忠孝SOGO 店,(02)27718939,"","",臺北市大安區忠孝東路四段45號11樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,39,環保餐廳,OEC蚌麵,(02)23117819,"","",臺北市中正區台北市中正區中山南路8號B1,環境管理
2024-05-01 02:07:10+00,40,環保餐廳,omo cafe （天母SOGO店）,(02)28341668,"","",臺北市士林區中山北路六段77號5樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,41,環保餐廳,Oohchacha自然食(古亭店),(02)23677133,"","",臺北市中正區南昌路二段207號,"環境管理, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,42,環保餐廳,PAI CAF? & LIFE,"","",971168198,臺北市松山區八德路二段366巷11號,"環境管理, 源頭減量, 惜食(善用食材)"
2024-05-01 02:07:10+00,43,環保餐廳,PAI Coffee,(02)25179787,"","",臺北市中山區民生東路二段147巷6弄1號,"環境管理, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,44,環保餐廳,PARADE 和巴黎人吃一樣的日常,(02)27110800,"","",臺北市大安區忠孝東路四段170巷11號,環境管理
2024-05-01 02:07:10+00,45,環保餐廳,pd by petit doux 忠孝SOGO店,(02)27213008,"","",臺北市大安區台北市大安區忠孝東路四段45號 11樓(忠孝SOGO百貨),"環境管理, 綠色採購, 源頭減量"
2024-05-01 02:07:10+00,46,環保餐廳,petit doux 微兜  永康店,(02)23951336,"","",臺北市大安區台北市大安區信義路二段 198 巷 7-3 號1樓,"環境管理, 綠色採購, 源頭減量"
2024-05-01 02:07:10+00,47,環保餐廳,petit doux 微兜  京站店,(02)77290009,"","",臺北市大同區台北市大同區承德路一段1號1樓,"環境管理, 綠色採購, 源頭減量"
2024-05-01 02:07:10+00,48,環保餐廳,PINK SALT｜披薩｜義麵 ,(02)27564233,"","",臺北市信義區忠孝東路五段423巷28號,"環境管理, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,49,環保餐廳,Plants,(02)27845677,"","",臺北市大安區復興南路1段253巷10號1樓,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,50,環保餐廳,PRIME ONE 牛排館,(02)23143300,3368,"",臺北市中正區中華路二段1號,"環境管理, 綠色採購, 惜食(善用食材)"
