"資料集id","資料集編號","資料集名稱","數位發展部服務分類","數位發展部資料集類型","主題分類","資料集描述","主要欄位說明","資料集提供機關(一級) ","資料集提供機關(二級) ","資料集提供機關","上架時間","更新頻率","計費方式","計費說明網址","資料集語系","資料授權","資料集提供機關聯絡人","資料集提供機關聯絡人電話","資料集提供機關聯絡人電子郵件","備註","資料最後更新時間","資料存取網址","檔案格式","編碼格式","資料量"
"cb964837-c602-4238-b6c0-f63ad1094d5e","00000990","臺北市動產擔保登記資料","購屋及遷徙","原始資料","經濟","臺北市動產擔保登記資料。","登記編號、登記核准日期、變更文號、變更核准日期、註銷文號、註銷日期、擔保類別、契約啟始日期、契約終止日期、債務人名稱、債務人統編、債務人住居所或營業所、債務人代理人名稱、債務人代理人統編 、擔保權人名稱、擔保權人統編 、擔保權人住居所或營業所、擔保權人代理人名稱、擔保權人代理人統編、擔保權人備註、標的物種類、標的物所有人名稱、標的物所有人統編、標的物所在地、標的物總價格、標的物價格幣別、擔保債權金額、擔保債權金額幣別、最高限額註記、動產明細項數、浮動擔保註記","產業局","","產業局","2016-02-19T00:00:00","每1月","免費","","中文","公開","蕭大寬","02-27208889#6562","ea-10260@gov.taipei","","2026-04-02T15:11:37","/api/dataset/cb964837-c602-4238-b6c0-f63ad1094d5e/resource/fd1dbcd4-bc91-4ead-abd7-bf28b0876d50/download","CSV","utf-8",""
"6b7c48b4-03a6-4fcc-b172-9cee415c20b9","00000993","臺北市南港軟體工業園區廠商資料名錄","開創事業","原始資料","經濟","臺北市南港軟體工業園區廠商資料。","統編、公司名稱、公司地址、經度、緯度","產業局","","產業局","2016-02-19T00:00:00","每3月","免費","","中文","公開","陳譽笙","02-27208889#1225","ps3671@gov.taipei","","2026-04-02T15:11:35","/api/dataset/6b7c48b4-03a6-4fcc-b172-9cee415c20b9/resource/13f0e277-8eaa-4ca1-ab9f-dcb99d9c9a77/download","CSV","UTF-8",""
"81b2a881-d37b-41b0-b9e0-39a2fef486ce","00000332","臺北市自來水管承裝商業者","生活安全及品質","原始資料","經濟","取得本市自來水管承裝商許可業者資料。","NAME(承裝商名稱)、COMNUM(證號)、ADDR(營業地址)、OWNER(負責人姓名)、ADDR_X(座標X)、ADDR_Y(座標Y)","產業局","","產業局","2013-05-24T00:00:00","不定期更新","免費","","中文","公開","洪睿鴻","02-27208889#1306","ea-10250@gov.taipei","","2026-04-02T15:11:33","/api/dataset/81b2a881-d37b-41b0-b9e0-39a2fef486ce/resource/5bad892f-8f7a-4387-8c7d-80d7a82e9f3f/download","CSV","utf-8",""
"c065c245-b56b-4ab3-b5ef-bf27a386f5b2","00000992","臺北市地下水鑿井業登記資料","生活安全及品質","原始資料","經濟","臺北市地下水鑿井業登記資料。","維護業名稱、證號、營業地址、負責人姓名、狀態、位置X座標(經度)、位置Y座標(緯度)
","產業局","","產業局","2016-02-19T00:00:00","不定期更新","免費","","中文","公開","洪睿鴻","02-27208889#1306","ea-10250@gov.taipei","","2026-04-02T15:11:32","/api/dataset/c065c245-b56b-4ab3-b5ef-bf27a386f5b2/resource/36fed982-f176-4405-a7c7-9fdc21811290/download","CSV","utf-8",""
"fc7ade1c-cca2-429a-91f9-4eaca802c8dd","00000991","臺北市用電設備檢驗維護業登記資料","生活安全及品質","原始資料","經濟","臺北市用電設備檢驗維護業登記資料。","維護業名稱、證號、營利事業統一編號、營業地址、負責人姓名、狀態、核設日期、核設文號、位置X座標(經度)、位置Y座標(緯度)","產業局","","產業局","2016-02-19T00:00:00","不定期更新","免費","","中文","公開","黃冠淳","02-27208889#1307","ea-10297@gov.taipei","","2026-04-02T15:11:25","/api/dataset/fc7ade1c-cca2-429a-91f9-4eaca802c8dd/resource/e4c89f39-0ab3-4473-9bab-42a3d7e0def4/download","CSV","utf-8",""
"3a7f9832-d020-4a6d-9b4d-6727fc149352","00000352","臺北市公用天然氣導管承裝業業者","生活安全及品質","原始資料","經濟","取得本市公用天然氣導管承裝業執照業者資料。
","NAME(承裝業名稱)、CERT(證號)、BAN_NO(營利事業統一編號)、SUMADDR(營業地址)、RNAME(負責人姓名)、ESTAB_DATE(核設日期)、ESTAB_NO(核設文號)、ADDR_X(X座標)、ADDR_Y(Y座標)","產業局","","產業局","2013-05-24T00:00:00","不定期更新","免費","","中文","公開","洪睿鴻","02-27208889#1306","ea-10250@gov.taipei","","2026-04-02T15:11:24","/api/dataset/3a7f9832-d020-4a6d-9b4d-6727fc149352/resource/e95e7e35-b812-48ba-ac72-71fdd76f2997/download","CSV","utf-8",""
"15c3e1ae-899b-466c-a536-208497e3a369","00000215","臺北市內湖科技園區廠商名錄","開創事業","原始資料","經濟","臺北市內湖科技園區廠商資料。","統編、公司名稱、公司地址、ADDR_X、ADDR_Y","產業局","","產業局","2012-01-31T00:00:00","每3月","免費","","中文","公開","陳譽笙","02-27208889#1225","ps3671@gov.taipei","","2026-04-02T15:11:19","/api/dataset/15c3e1ae-899b-466c-a536-208497e3a369/resource/296acfa2-5d93-4706-ad58-e83cc951863c/download","CSV","UTF-8",""
"dd950d9c-01c0-452d-b8d0-f9cf38f3a55d","00000259","臺北市大彎南段工業區廠商名錄","開創事業","原始資料","經濟","臺北市大彎南段工業區廠商資料。","統編、公司名稱、公司地址、ADDR_X、ADDR_Y","產業局","","產業局","2012-01-31T00:00:00","不定期更新","免費","","中文","公開","陳譽笙","02-27208889#1225","ps3671@gov.taipei","","2026-04-02T15:11:17","/api/dataset/dd950d9c-01c0-452d-b8d0-f9cf38f3a55d/resource/c9286411-93cb-4b4b-98f3-d1a0ea241423/download","CSV","utf-8",""
"dc76bd87-2d1e-4c32-85d5-ef606319a4f0","00000533","臺北市瓦斯供氣戶數及供氣量","生活安全及品質","原始資料","經濟","臺北市四家公用天然氣事業售氣量及供氣戶數表(115年2月)。","公司名稱、本月增減戶數、供氣戶數、當月供氣量、本年截至上月累計供氣量、年累計供氣量","產業局","","產業局","2015-05-15T00:00:00","每1月","免費","","中文","公開","郭懿德","02-27208889#6608","dk1268@gov.taipei","","2026-04-02T15:11:15","/api/dataset/dc76bd87-2d1e-4c32-85d5-ef606319a4f0/resource/fedcb49e-7063-4425-bfb6-d17c5e186452/download","CSV","utf-8",""
"ace829ec-6578-4698-ae60-49712dfb1be8","00001435","台北花博農民市集全國農特產品展售會業績表","休閒旅遊","原始資料","農業","台北花博農民市集~全國農特產品展售會業績表。","週次、場次、日期、攤數、展售攤數、小計（來客數）、小計（營業額）
","產業局","","產業局","2018-01-30T00:00:00","每1年","免費","","中文","公開","陳思羽","02-27208889#6615","ea-10355@gov.taipei","","2026-04-02T15:11:13","/api/dataset/ace829ec-6578-4698-ae60-49712dfb1be8/resource/c31fecc4-466f-4940-8f2a-012d072df0a6/download","CSV","UTF-8",""
"57aa0314-f699-49ce-9ec9-f33ffeb645da","00001971","臺北市太陽光電發電設備之核准情形","公共資訊","原始資料","經濟","臺北市太陽光電發電設備之核准情形(114年7月至12月)(單位：件、瓩)。","項目別、同意備案本期核准件數、同意備案本期核准總裝置容量、同意備案本年累計核准件數、同意備案本年累計核准總裝置容量、設備登記本期核准件數、設備登記本期核准總裝置容量、設備登記本年累計核准件數、設備登記本年累計核准總裝置容量","產業局","","產業局","2020-09-28T00:00:00","不定期更新","免費","","中文","公開","鄭婷","02-27208889#6606","ea-40400@gov.taipei","","2026-04-02T15:11:11","/api/dataset/57aa0314-f699-49ce-9ec9-f33ffeb645da/resource/c03e34be-2f79-4f3c-8d11-961b0522bcda/download","CSV","UTF-8",""
"67c48cb8-a911-4122-a2e4-a6c217cc872a","00001972","臺北市再生能源發電設備之核准資料","生活安全及品質","原始資料","經濟","臺北市再生能源發電設備之核准情形(114年7月至12月)(單位：件、千瓦)。","項目別、同意備案本期核准件數、同意備案本期核准總裝置容量、同意備案本年累計核准件數、同意備案本年累計核准總裝置容量、設備登記本期核准件數、設備登記本期核准總裝置容量、設備登記本年累計核准件數、設備登記本年累計核准總裝置容量","產業局","","產業局","2020-09-28T00:00:00","每6月","免費","","中文","公開","鄭婷","02-27208889#6606","ea-40400@gov.taipei","","2026-04-02T15:11:09","/api/dataset/67c48cb8-a911-4122-a2e4-a6c217cc872a/resource/24956560-d5e0-48bb-8c59-8c0e2cf2b287/download","CSV","UTF-8",""
"2385447a-6793-4055-8ce0-b601ffa5e9b5","00000159","臺北市加油站及加氣站分布圖","交通及通訊","原始資料","經濟","臺北市加油站及加氣站分布圖。","CITYZONE(行政區)、NAME(名稱)、S_NAME(站名)、SUPPLIER(供油廠商)、ADDRESS(地址)、電話、DUTY_TIME(營業時間)、HAVEOIL(加油站)、HAVEGAS(加氣站)、HAVESELF(提供自助加油服務)、ADDR_X(座標X)、ADDR_Y(座標Y)","產業局","","產業局","2012-01-13T00:00:00","不定期更新","免費","","中文","公開","孫樹深","02-27208889#6611","ea-40248@gov.taipei","","2026-04-02T15:11:08","/api/dataset/2385447a-6793-4055-8ce0-b601ffa5e9b5/resource/cba4734b-3693-46cc-bcc1-61cac76386b9/download","CSV","utf-8",""
"c9909a36-47ce-4c19-b859-5e9e4ec7f2a6","00003906","臺北自來水事業處供水系統內水質","生活安全及品質","原始資料","資訊","臺北自來水事業處供水系統內水質資訊","項次、檢驗項目、單位、水質標準限值、方法偵測極限數值、瑠公圳公園數值、富陽公園數值、民生加壓站數值、富生公園數值、民族東路數值、進安公園數值、保福路數值、中和員山路數值、公館加壓站數值、永和區數值、三重同安東街數值、大有街數值、新店安康路數值、十四張公園數值、羅斯福路六段數值、木新路數值、中山北路一段數值、三清宮數值、研究院路數值、興南宮數值、大湖公園加壓站數值、承德路七段數值、陽明山格致路數值、士林至善路數值、龍塘綠地數值、汐止芳園街數值
","北水處","","北水處","2022-03-03T00:00:00","每1月","免費","","中文","公開","郭祈心","02-87335686","cc9859@water.gov.taipei","","2026-04-02T15:04:02","/api/dataset/c9909a36-47ce-4c19-b859-5e9e4ec7f2a6/resource/ef99fb7e-3624-42c7-ab3b-55d912e5cb72/download","CSV","UTF-8",""
"8fdd22d5-9aa2-46a7-91d4-6c2f53a2ec06","00003904","臺北自來水事業處各淨水場原水水質","生活安全及品質","原始資料","資訊","臺北自來水事業處各淨水場原水水質資訊","項次、檢驗項目、單位、水源水質標準限值、方法偵測極限數值、直潭水源數值、青潭水源數值、雙溪水源數值、士林水源數值、陽明山第一水源數值、陽明山第三水源數值、陽明山第四水源數值、頂北投水源數值、鹿角坑數值、北投第一水源數值","北水處","","北水處","2022-03-03T00:00:00","每1月","免費","","中文","公開","郭祈心","02-87335686","cc9859@water.gov.taipei","","2026-04-02T15:04:01","/api/dataset/8fdd22d5-9aa2-46a7-91d4-6c2f53a2ec06/resource/f8062c04-ae59-4b24-bfda-14d8b9d1749a/download","CSV","UTF-8",""
"ee8842ea-25a2-4cd2-a6c0-d50b37ab18d0","00003905","臺北自來水事業處各淨水場清水水質","生活安全及品質","原始資料","資訊","臺北自來水事業處各淨水場清水水質資訊","項次、檢驗項目、單位、水質標準限值、方法偵測極限數值、直潭淨水場數值、長興淨水場數值、公館淨水場數值、雙溪水源數值、士林水源數值、三角埔數值、頂北投水源數值、鹿角坑清數值","北水處","","北水處","2022-03-03T00:00:00","每1月","免費","","中文","公開","郭祈心","02-87335686","cc9859@water.gov.taipei","","2026-04-02T15:03:59","/api/dataset/ee8842ea-25a2-4cd2-a6c0-d50b37ab18d0/resource/e4ca5019-b923-4423-a3af-af166e976f35/download","CSV","UTF-8",""
"3f937710-c4c7-4325-b36f-816eea7d9ff9","00029511","The Key Business Data of Taipei Water Department(Taipei Water Department)","公共資訊","原始資料","經濟","本表為臺北自來水事業處有關生產、供水、營業、人事及財務等業務關鍵數據","YYYMM（ROC）、Volume of water distributed（CBM）、Place and unit of Direct Drinking Stand（Quantity）、No. of on- line water quality monitoring stations（Quantity）、Average water pressure（kg/cm2）、Length of pipelines of transportation and distribution（Km）、Revenue water volume（CBM）、Volume supporting Taiwan Water Corp.（CBM）、Water volume consumed after deducting volume supporting Taiwan Water Corp.（CBM）、Total population in the water supply area（Person）、Water consuming population in the water supply area（Person）、Prevalence rate of water supply（％）、Number of customer（Household）、Average per day per capita water consumption（Liter）、Number of employees（Person）、Staff（Person）、Worker（Person）、Average number of customer served by each employee（Household）、Revenue of current month（NTD K）、Sales revenue（NTD K）、Service revenue（NTD K）、Other business income（NTD K）、Non-operating income（NTD K）、Expenditure of current month（NTD K）、Sales cost（NTD K）、Service costs（NTD K）、Other operating costs（NTD K）、Non-operating expenses（NTD K）、Earnings of current months（NTD K）、Asset（NTD K）、Liability（NTD K）、Owens Liability（NTD K）","北水處","","北水處","2022-07-19T00:00:00","每1月","免費","","英文","公開","曾鈺涵","02-87335770","t2507@water.gov.taipei","","2026-04-02T15:03:57","/api/dataset/3f937710-c4c7-4325-b36f-816eea7d9ff9/resource/09873454-f56c-4d60-bd25-454c0740d3ed/download","CSV","Big5","10"
"4487aa01-acc6-4c54-8bef-8d4d2dd6f1b2","00029324","臺北自來水事業處業務關鍵數據","公共資訊","原始資料","經濟","本表為臺北自來水事業處有關生產、供水、營業、人事及財務等業務關鍵數據","年月、配水量（立方公尺）、自來水直飲台數量（台）、線上水質監測站數量（站）、平均水壓（kg/cm2）、輸配水管線長度（公里）、計費水量（立方公尺）、支援台水水量（立方公尺）、扣支援台水水量後之用水量（立方公尺）、供水區域之總人口數（人）、供水區域用水人口數（人）、供水普及率（%）、用戶數（戶）、每人每日平均用水量（公升）、員工人數（人）、職員（人）、工員（人）、每員工平均服務用戶數（戶）、本月收入（千元）、銷貨收入（千元）、勞務收入（千元）、其他營業收入（千元）、營業外收入（千元）、本月支出（千元）、銷貨成本（千元）、勞務成本（千元）、其他營業成本（千元）、營業外費用（千元）、本月盈餘（千元）、資產（千元）、負債（千元）、業主權益（千元）","北水處","","北水處","2022-06-01T00:00:00","每1月","免費","","中文","公開","曾鈺涵","02-87335770","t2507@water.gov.taipei","","2026-04-02T15:03:34","/api/dataset/4487aa01-acc6-4c54-8bef-8d4d2dd6f1b2/resource/4a6ad66a-0b0a-4e1f-aa5f-cbbbe487db79/download","CSV","Big5",""
"c106a00b-5a21-4393-b213-475a0ece9f2b","00000236","大臺北地區消防栓分布點位圖","生活安全及品質","原始資料","消防","大臺北地區(包括臺北市、新北市三重區、中和區、永和區、新店區及汐止區7個里)消防栓分布點位","序號、圖號、編號、WPID、97X座標、97Y座標、WGS84經度、WGS84緯度、型式、所在地區","北水處","","北水處","2012-01-04T00:00:00","每3月","免費","","中文","公開","鄒亞達","02-87335711","ydc@water.gov.taipei","","2026-04-02T15:03:16","/api/dataset/c106a00b-5a21-4393-b213-475a0ece9f2b/resource/b9f8154d-c627-48a8-b3ef-512ed9cde9e7/download","CSV","UTF-8","30445"
"ab446f19-0f95-4e55-b593-0eea8e447c7d","00000599","臺北自來水事業處支援台水月統計表","生活安全及品質","原始資料","資訊","支援台灣自來水公司清水量月報表","序號、日期、合計水量、支援第一區處水量、支援第十二區處水量","北水處","","北水處","2021-03-02T00:00:00","每1年","免費","","中文","公開","王耀霖","02-87335946","yaolin@water.gov.taipei","","2026-04-02T15:03:11","/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/777f8628-b8ce-4dd6-b503-b52923a6e75a/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/e3d85d14-91e8-4546-8516-117920022250/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/49ca12b6-f8ff-41a1-ac59-9e542f8eaee3/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/da7f7ff2-da18-4205-8bfb-41c0e0cfb71a/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/f6c8006d-5966-4f95-882a-121911999ee8/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/832715ab-7f00-4059-a5a0-60229b9ff98a/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/7e35ea39-5862-4a24-b5af-74d8fcb78d56/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/0422f841-26b6-47bd-b7b6-8ee0de4dd75a/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/fdd70c0e-2e72-43a0-baa9-4d15b759151a/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/070c74bf-9a60-403d-bb15-b5145230dbae/download,/api/dataset/ab446f19-0f95-4e55-b593-0eea8e447c7d/resource/8e01601d-0d1c-4cf1-b1c2-0862b4ce58d2/download","CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV","Big5,Big5,big5,Big5,big5,big5,Big5,big5,big5,Big5,big5","0"
"155999f2-3c5d-486b-af58-d7f4c0b0a4c9","00000448","臺北市所屬直飲臺","生活安全及品質","原始資料","環保","臺北自來水事業處於臺北市及新北市設置之直接飲用自來水飲水臺資訊","每月對照使用、直飲臺編號、轄區分處、市別、場所別、場所次分類、所屬單位、場所名稱、地址、行政區、維護單位、連絡電話、場所開放時間、設置地點、經度、緯度、狀態、狀態異動日期時間、最近採樣日期時間、大腸桿菌數、水質及維護資訊網址、直飲台照片網址
","北水處","","北水處","2015-04-15T00:00:00","每3月","免費","","中文","公開","邱嘉南","02-87335657","jackal@water.gov.taipei","","2026-04-02T15:03:09","/api/dataset/155999f2-3c5d-486b-af58-d7f4c0b0a4c9/resource/181097e0-c171-4bcd-ad41-c7b55dbc616e/download","CSV","Big5","733"
"961ca397-4a59-45e8-b312-697f26b059dc","00000133","臺北市水質監測資訊","生活安全及品質","原始資料","環保","臺北市自來水事業處各水質監測站，所測得水質之濁度、餘氯、酸鹼度等數據15分鐘平均值(數值""-9""表示維修中，暫停監測)","update_date、update_time、qua_id、code_name、longitude、latitude、qua_cntu、qua_cl、qua_ph","北水處","","北水處","2014-04-24T00:00:00","每15分","免費","","中文","公開","張文旭","02-87335837","winson@twd.gov.tw","","2026-04-02T15:03:07","https://twd.water.gov.taipei/opendata/wqb/wqb.asmx/GetQualityData","XML","utf-8",""
"31af73ae-42a5-4182-ad69-c1d730450a29","00029323","臺北市近年水價資料表","公共資訊","原始資料","經濟","本表為臺北自來水事業處近年水價資料表。","年度、平均單位水價（元）、售水單位成本（元）、售水單位盈虧（元）、自來水投資報酬率（%）","北水處","","北水處","2022-06-01T00:00:00","每1年","免費","","中文","公開","郭倢安","02-87335779","kannie@water.gov.taipei","","2026-04-02T15:03:05","/api/dataset/31af73ae-42a5-4182-ad69-c1d730450a29/resource/59526659-dc44-41e2-a30e-e1990b566324/download","CSV","Big5",""
"bc2d98ba-f03b-4d0e-a5f1-c46afdf862d9","00029322","臺北自來水事業處近年重要財務比率","公共資訊","原始資料","經濟","本表為臺北自來水事業處近年財務比率。","年度、總收支百分比（%）、負債百分比（%）、總資產週轉率（%）、總資產報酬率（%）、自來水投資報酬率（%）、權益報酬率（%）、純益率（%）、營業利益率（%）、營業成長率（%）、純益成長率（%）、權益成長率（%）","北水處","","北水處","2022-06-01T00:00:00","每1年","免費","","中文","公開","郭倢安","02-87335779","kannie@water.gov.taipei","","2026-04-02T15:03:03","/api/dataset/bc2d98ba-f03b-4d0e-a5f1-c46afdf862d9/resource/f77682f9-173d-4d27-8ef1-f9aa0aa8dbf8/download","CSV","Big5",""
"b3621cc9-80cd-4477-ac79-df3bcc0dc06c","00029321","臺北市基本水費表","公共資訊","原始資料","經濟","本表為臺北自來水事業處各口徑基本費收費標準，並依照抄表頻率不同提供不同的費用。","口徑及抄表頻率、13mm金額（元）、20mm金額（元）、25mm金額（元）、40mm金額（元）、50mm金額（元）、75mm金額（元）、100mm金額（元）、150mm金額（元）、200mm金額（元）、250mm金額（元）、300mm以上金額（元）","北水處","","北水處","2022-06-01T00:00:00","不定期更新","免費","","中文","公開","郭倢安","02-87335779","kannie@water.gov.taipei","","2026-04-02T15:03:01","/api/dataset/b3621cc9-80cd-4477-ac79-df3bcc0dc06c/resource/4e521b26-4d1c-450d-adbd-b580ade51c50/download","CSV","Big5",""
"6bf6c8ae-04e3-4b9b-8aab-774489671687","00003885","臺北地區災時緊急供水站狀態資訊","生活安全及品質","原始資料","水利","於災情發生時，提供民眾有關本處緊急供水站開設相關資訊，供民眾取水。","項次編號、狀態、行政區、名稱、地點、預定關閉時間、聯絡窗口、電話、備註","北水處","","北水處","2021-03-17T00:00:00","不定期更新","免費","","中文","公開","詹士旻","02-87335711","shmin@water.gov.taipei","","2026-04-02T15:02:59","https://tpwater.blob.core.windows.net/blobfs/EngSupply.kml","KML","utf-8",""
